Sl. No.,Category,States/ UTs,No. of Police Personnel having Natural Death While in Service - 18-25,No. of Police Personnel having Natural Death While in Service - 25-35,No. of Police Personnel having Natural Death While in Service - 35-45,No. of Police Personnel having Natural Death While in Service - 45-55,No. of Police Personnel having Natural Death While in Service - Above 55 Years,No. of Police Personnel having Natural Death While in Service - Total,No. of Police Personnel Committed Suicide While In Service - 18-25,No. of Police Personnel Committed Suicide While In Service - 25-35,No. of Police Personnel Committed Suicide While In Service - 35-45,No. of Police Personnel Committed Suicide While In Service - 45-55,No. of Police Personnel Committed Suicide While In Service - Above 55 Years,No. of Police Personnel Committed Suicide While In Service - Total
1,State,Andhra Pradesh,1,14,61,67,18,161,0,4,3,3,0,10
2,State,Arunachal Pradesh,0,0,1,4,1,6,0,0,0,0,0,0
3,State,Assam,0,0,2,1,1,4,0,0,0,0,0,0
4,State,Bihar,6,7,32,56,19,120,0,0,0,0,0,0
5,State,Chhattisgarh,3,3,13,16,4,39,1,0,1,0,0,2
6,State,Goa,0,1,4,5,3,13,0,0,0,0,0,0
7,State,Gujarat,0,17,51,85,8,161,0,1,2,3,0,6
8,State,Haryana,0,1,5,12,1,19,0,0,0,1,0,1
9,State,Himachal Pradesh,0,1,5,3,0,9,0,0,1,0,0,1
10,State,Jammu & Kashmir,0,1,8,13,1,23,0,0,0,0,0,0
11,State,Jharkhand,1,2,12,17,3,35,0,1,0,3,0,4
12,State,Karnataka,2,11,32,61,19,125,1,1,1,1,0,4
13,State,Kerala,0,1,13,49,0,63,0,1,3,10,0,14
14,State,Madhya Pradesh,2,7,18,50,21,98,0,1,1,6,1,9
15,State,Maharashtra,4,20,78,91,14,207,3,6,8,16,3,36
16,State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0
17,State,Meghalaya,0,0,4,4,1,9,0,0,0,0,0,0
18,State,Mizoram,0,1,2,2,0,5,0,0,0,0,0,0
19,State,Nagaland,1,0,2,0,1,4,0,0,0,0,0,0
20,State,Orissa,0,1,10,17,5,33,0,0,1,1,0,2
21,State,Punjab,1,18,57,80,5,161,0,0,2,0,0,2
22,State,Rajasthan,2,9,19,36,17,83,1,1,0,0,4,6
23,State,Sikkim,1,4,6,1,0,12,0,2,2,0,0,4
24,State,Tamil Nadu,1,10,46,105,29,191,0,2,2,7,1,12
25,State,Tripura,0,2,2,17,8,29,1,0,0,1,0,2
26,State,Uttar Pradesh,3,14,83,143,76,319,0,3,3,2,0,8
27,State,Uttarakhand,0,1,3,6,0,10,0,0,0,1,0,1
28,State,West Bengal,1,12,36,40,42,131,0,1,4,3,0,8
State,State,Total (States),29,158,605,981,297,2070,7,24,34,58,9,132
29,Union Territory,A & N Islands,0,2,1,0,0,3,0,1,1,0,0,2
30,Union Territory,Chandigarh,0,0,5,4,0,9,0,0,0,0,0,0
31,Union Territory,D & N Haveli,0,0,2,0,0,2,0,0,0,0,0,0
32,Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0
33,Union Territory,Delhi,1,4,56,61,28,150,1,2,2,0,0,5
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
35,Union Territory,Puducherry,0,0,4,2,2,8,0,0,0,0,0,0
Union Territory,Union Territory,Total (UTs),1,6,68,67,30,172,1,3,3,0,0,7
Total (All India),Total (All India),Total (All India),30,164,673,1048,327,2242,8,27,37,58,9,139
