Sl. No. (Col.1),Crime Head (Col.2),Cases Withdrawn by Govt. (Col.3),Percentage of Cases to Total Cases for Trial - Compounded or Withdrawn (Col.4),Percentage of Cases to Total Cases for Trial - Trials Completed - Convicted (Col.5),Percentage of Cases to Total Cases for Trial - Trials Completed - Acquitted or Discharged (Col.6),Percentage of Cases to Total Cases for Trial - Trials Completed - Total (Col.7) = Col.{(5) + (6)},Percentage of Cases to Total Cases for Trial - Pending Trial at the end of the year (Col.8),Conviction Rate (Col.9) = Col.{(5)/(7) ×100}
1,Arms Act,0.2,0.2,11.4,5.8,17.2,82.5,66.1
2,Narcotic Drugs & Psychotropic Substances Act,0,0,12.6,6.1,18.8,81.2,67.4
3,Gambling Act,0,0.4,29.1,6.1,35.2,64.4,82.8
4,Excise Act,0.1,0.2,19.9,5.9,25.8,74,77.2
5,Prohibition Act,0,0.8,8.3,6.1,14.4,84.7,57.7
6,Explosives & Explosive Substances Act,0,0,5.8,5.9,11.8,88.2,49.5
7,Immoral Traffic (p) Act,0,0.2,12.7,8.6,21.3,78.5,59.8
8,Indian Railways Act,0,0,7.5,7.9,15.4,84.5,48.9
9,Registration Of Foreigners Act,0,0,10.8,1.4,12.2,87.8,88.1
10,Protection Of Civil Rights Act - Total,0,0.5,2.8,22,24.8,74.7,11.2
10,Protection Of Civil Rights Act - (i) PCR Act For SCs,0,0.3,2.9,20,22.9,76.8,12.8
10,Protection Of Civil Rights Act - (ii) PCR Act For STs,0,3.6,0,55.9,0,40.5,0
11,Indian Passport Act,0,0,17.3,3.6,20.9,79.1,82.7
12,Essential Commodities Act,0,0,3.2,6.6,9.8,90.2,32.5
13,Terrorist & Disruptive Activities Act,0,0,0.2,1.5,1.7,98.3,12.5
14,Antiquities & Art Treasures Act,0,0,1.6,6.2,7.8,92.2,20
15,Dowry Prohibition Act,0,2.2,3.9,12.4,16.3,81.5,23.9
16,Child Marriage Restraint Act,0,0.2,3.9,11.5,15.3,84.5,25.3
17,Indecent Representation Of Women (p) Act,0,0,44.5,7.8,52.4,47.6,85
18,Copyright Act,0,0.1,5.6,8.1,13.7,86.3,41
19,Sati Prevention Act,0,0,0,0,0,100,NA
20,SC/ST (prevention Of Atrocities) Act - Total,0,0.4,5,11.6,16.7,82.9,30.2
20,SC/ST (prevention Of Atrocities) Act - (i) Prevention Of Attrocities Act For SCs,0,0.3,5.2,11.5,16.7,83,31.1
20,SC/ST (prevention Of Atrocities) Act - (ii) Prevention Of Attrocities Act For STs,0,1.3,3.8,13,16.8,81.9,22.7
21,Forest Act,0,0.1,16.7,6.7,23.3,76.6,71.4
22,Other SLL Crimes,0,0.1,51.6,6.9,58.5,41.3,88.1
23,Total Cognizable Crimes Under SLL,0,0.3,33.4,6.6,39.9,59.7,83.5
