Sl. No.,Crime Head,Cases Withdrawn by Govt.,No. of Cases - Compounded or Withdrawn,No. of Cases - Convicted,No. of Cases - Acquitted or Discharged,No. of Cases - Total,No. of Cases - Pending Trial at the end of the year,Conviction Rate
1,"Murder (Sec. 302,303 IPC)",0,0,8,9.5,17.5,82.5,45.8
2,Rape (Sec.376 IPC),0,0.1,7.4,14.7,22.1,77.8,33.4
3,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC)",0,0.3,6.7,12.2,19,80.7,35.6
4,Dacoity (Sec.395-398 IPC),0,0,0.9,12.2,13,87,6.7
5,"Robbery (392-394, 397,398 IPC)",0,0,3.4,14.4,17.8,82.2,19
6,"Arson (Sec.435, 436, 438 IPC)",0,0.1,4,11,15,84.9,26.8
7,"Hurt (Sec.323-333, 335-338 IPC)",0,1.8,5.7,15.8,21.5,76.7,26.4
8,"PCR Act, 1955 For SCs",0,0.3,2.9,20,22.9,76.8,12.8
9,"SC/ST Prev. of Atrocities Act, 1989 For SCs",0,0.3,5.2,11.5,16.7,83,31.1
10,Other Crime,0,1.1,7.7,15,22.7,76.2,33.8
Total,Total,0,0.8,6.3,13.6,19.9,79.3,31.7
