Sr. No.,Category,States/ UTs,Total No. of Persons Under Arrest Including those from Previous Year,Number of - Persons Released Before Trial,Number of - Persons Charge Sheeted,Number of - Persons Under Investigation at the end of the Year,Pendency Percentage,Percentage of Pendency to All-India Total
1,State,Andhra Pradesh,2336,38,1726,572,24.5,8.9
2,State,Arunachal Pradesh,22,0,18,4,18.2,0.1
3,State,Assam,308,35,109,164,53.2,2.5
4,State,Bihar,2045,37,1086,922,45.1,14.3
5,State,Chhattisgarh,1279,0,1266,13,1,0.2
6,State,Goa,165,1,61,103,62.4,1.6
7,State,Gujarat,1306,1,1210,95,7.3,1.5
8,State,Haryana,345,0,334,11,3.2,0.2
9,State,Himachal Pradesh,219,4,165,50,22.8,0.8
10,State,Jammu & Kashmir,10,0,10,0,0,0
11,State,Jharkhand,157,2,98,57,36.3,0.9
12,State,Karnataka,369,9,285,75,20.3,1.2
13,State,Kerala,1101,0,725,376,34.2,5.8
14,State,Madhya Pradesh,5642,0,5574,68,1.2,1.1
15,State,Maharashtra,4099,36,2937,1126,27.5,17.4
16,State,Manipur,73,17,0,56,76.7,0.9
17,State,Meghalaya,111,2,48,61,55,0.9
18,State,Mizoram,22,0,22,0,0,0
19,State,Nagaland,6,0,1,5,83.3,0.1
20,State,Orissa,209,0,200,9,4.3,0.1
21,State,Punjab,499,48,328,123,24.6,1.9
22,State,Rajasthan,738,0,723,15,2,0.2
23,State,Sikkim,73,0,26,47,64.4,0.7
24,State,Tamil Nadu,842,29,537,276,32.8,4.3
25,State,Tripura,187,20,116,51,27.3,0.8
26,State,Uttar Pradesh,6199,1219,4113,867,14,13.4
27,State,Uttarakhand,83,0,76,7,8.4,0.1
28,State,West Bengal,823,65,389,369,44.8,5.7
State,State,Total (States),29268,1563,22183,5522,18.9,85.5
29,Union Territory,A & N Islands,70,0,40,30,42.9,0.5
30,Union Territory,Chandigarh,74,12,29,33,44.6,0.5
31,Union Territory,D & N Haveli,26,0,17,9,34.6,0.1
32,Union Territory,Daman & Diu,14,0,5,9,64.3,0.1
33,Union Territory,Delhi,1894,44,1012,838,44.2,13
34,Union Territory,Lakshadweep,0,0,0,0,NA,0
35,Union Territory,Puducherry,30,1,13,16,53.3,0.2
Union Territory,Union Territory,Total (UTs),2108,57,1116,935,44.4,14.5
Total (All-India),Total (All-India),Total (All-India),31376,1620,23299,6457,20.6,100
