Sl. No. (Col. 1),Crime Head (Col. 2),Total No. for Cases for Trial Including Pending Cases from previous year (Col. 3),Cases Withdrawn by Govt. (Col. 4),No. of Cases (Col. 5) - Compounded or Withdrawn,No. of Cases in which Trials Completed (Col. 6) - Convicted,No. of Cases in which Trials Completed (Col. 7) - Acquitted or Discharged,No. of Cases in which Trials Completed (Col. 8) - Total = Col. {(6) + (7)),No. of Cases (Col. 9) - Pending Trial at the end of the year
1,"Foeticide (Sec.315,316 IPC)",296,0,0,29,39,68,228
2,"Murder (Sec.302, 303 IPC)",4808,0,7,378,456,834,3967
3,Rape (Sec.376 IPC),16963,0,8,945,2025,2970,13985
4,"Kidnapping .& Abduction ((Sec.363-369,371-373 IPC)",14830,1,69,806,1550,2356,12405
5,"Foeticide (Sec.315,316 IPC)",111,0,1,10,16,26,84
6,Abetment Of Suicide (Sec.305 IPC),103,1,4,5,17,22,77
7,Exposure And Abandonment (Sec. 317 IPC),879,17,1,10,81,91,787
8,Procuration Minor Girls (Sec. 366a IPC),578,0,4,18,61,79,495
9,Buying Of Girls for Prost. (Sec.373 IPC),100,0,0,1,12,13,87
10,Seling Of Girls for Prost. (Sec.372 IPC),148,0,1,2,12,14,133
11,"Child Marriage Restraint Act, 1978",489,0,1,19,56,75,413
12,Other Crime,20353,0,606,1509,2396,3905,15842
Total,Total,59658,19,702,3732,6721,10453,48503
