Sl. No.,Category,States/ UTs,Total No. of Cases for Investigation Including Pending Cases from previous year,Cases Withdrawn by Govt.,No. of Cases in Which Investigation Refused,No. of Cases in Which Investigation Completed - Charge Found False / Mistake of Fact or Law Etc.,No. of Cases in Which Investigation Completed - Final Report True Submitted,No. of Cases in Which Investigation Completed - Charge Sheets Submitted,No. of Cases in Which Investigation Completed - Total,No. of Cases Pending Investigation at the end of the year,Pendency Perentage,Percentage of Pendency to All India Total,Charge Sheeting Rate
1,State,Andhra Pradesh,1013,0,3,242,22,410,674,336,33.2,18,94.9
2,State,Arunachal Pradesh,64,0,0,0,8,50,58,6,9.4,0.3,86.2
3,State,Assam,224,0,0,19,12,35,66,158,70.5,8.4,74.5
4,State,Bihar,237,0,0,16,15,53,84,153,64.6,8.2,77.9
5,State,Chhattisgarh,703,6,6,10,15,587,612,79,11.2,4.2,97.5
6,State,Goa,1,0,0,0,0,0,0,1,100,0.1,NA
7,State,Gujarat,238,0,1,4,3,215,222,15,6.3,0.8,98.6
8,State,Haryana,0,0,0,0,0,0,0,0,NA,0,NA
9,State,Himachal Pradesh,1,0,0,0,0,1,1,0,0,0,100
10,State,Jammu & Kashmir,0,0,0,0,0,0,0,0,NA,0,NA
11,State,Jharkhand,465,0,0,25,31,159,215,250,53.8,13.4,83.7
12,State,Karnataka,444,0,8,54,23,246,323,113,25.5,6,91.4
13,State,Kerala,159,0,0,13,16,72,101,58,36.5,3.1,81.8
14,State,Madhya Pradesh,1177,0,0,15,9,1106,1130,47,4,2.5,99.2
15,State,Maharashtra,362,0,1,20,2,230,252,109,30.1,5.8,99.1
16,State,Manipur,30,0,0,0,1,0,1,29,96.7,1.6,0
17,State,Meghalaya,1,0,0,0,0,0,0,1,100,0.1,NA
18,State,Mizoram,0,0,0,0,0,0,0,0,NA,0,NA
19,State,Nagaland,0,0,0,0,0,0,0,0,NA,0,NA
20,State,Orissa,829,0,3,45,8,422,475,351,42.3,18.8,98.1
21,State,Punjab,0,0,0,0,0,0,0,0,NA,0,NA
22,State,Rajasthan,1143,0,0,557,6,462,1025,118,10.3,6.3,98.7
23,State,Sikkim,16,0,0,0,1,6,7,9,56.3,0.5,85.7
24,State,Tamil Nadu,20,0,0,3,1,14,18,2,10,0.1,93.3
25,State,Tripura,15,0,0,0,0,10,10,5,33.3,0.3,100
26,State,Uttar Pradesh,9,0,0,2,0,7,9,0,0,0,100
27,State,Uttarakhand,0,0,0,0,0,0,0,0,NA,0,NA
28,State,West Bengal,33,0,0,1,0,10,11,22,66.7,1.2,100
State,State,Total (States),7184,6,22,1026,173,4095,5294,1862,25.9,99.6,95.9
29,Union Territory,A & N Islands,5,0,0,0,0,2,2,3,60,0.2,100
30,Union Territory,Chandigarh,0,0,0,0,0,0,0,0,NA,0,NA
31,Union Territory,D & N Haveli,12,0,0,2,0,7,9,3,25,0.2,100
32,Union Territory,Daman & Diu,2,0,0,0,0,0,0,2,100,0.1,NA
33,Union Territory,Delhi,0,0,0,0,0,0,0,0,NA,0,NA
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,NA,0,NA
35,Union Territory,Puducherry,0,0,0,0,0,0,0,0,NA,0,NA
Union Territory,Union Territory,Total (UTs),19,0,0,2,0,9,11,8,42.1,0.4,100
Total (All India),Total (All India),Total (All India),7203,6,22,1028,173,4104,5305,1870,26,100,96
