Sl. No. (Col.1),Crime Head (Col.2),Cases Withdrawn by Govt. (Col.3),Percentage of Cases to Total Cases for Investigation in Which Investigation Refused (Col.4),Percentage of Cases to Total Cases for Investigation in Which Investigation was Completed - Charge Found False / Mistake of Fact or Law Etc. (Col.5),Percentage of Cases to Total Cases for Investigation in Which Investigation was Completed - Final Report True Submitted (Col.6),Percentage of Cases to Total Cases for Investigation in Which Investigation was Completed - Chargesheets Submitted (Col.7),Percentage of Cases to Total Cases for Investigation in Which Investigation was Completed - Total (Col.8) = Col.{(5) + (6) + (7)},Percentage of Cases Pending Investigation at the end of the year (Col.9),Charge Sheeting Rate (Col.10) = ((7)/((6) + (7)) × 100)
1,Arms Act,0,0.1,0.1,1,84.2,85.3,14.6,98.9
2,Narcotic Drugs & Psychotropic Substances Act,0,0,0.3,2.4,70.2,72.9,27.1,96.7
3,Gambling Act,0,0,0,0.1,95.1,95.2,4.8,99.9
4,Excise Act,0,0.1,0.1,0.4,89.4,89.9,10,99.5
5,Prohibition Act,0.1,0.2,2.1,2.9,73.6,78.7,21,96.2
6,Explosives & Explosive Substances Act,0,0.6,0.5,6.3,50.1,56.9,42.4,88.8
7,Immoral Traffic (p) Act,0,0.1,0.4,0.6,65.1,66,33.9,99.1
8,Indian Railways Act,0,0.4,2.2,23.2,23.5,48.9,50.7,50.4
9,Registration Of Foreigners Act,0,0,0.2,0.7,74.7,75.6,24.4,99
10,Protection Of Civil Rights Act - Total,0,0.3,21.3,6.6,46.1,74,25.7,87.5
10,Protection Of Civil Rights Act - (i) PCR Act For SCs,0,0,22.5,4,48,74.5,25.5,92.4
10,Protection Of Civil Rights Act - (ii) PCR Act For STs,0,5.9,0,52.9,11.8,64.7,29.4,18.2
11,Indian Passport Act,0,0,0.8,3.3,36.8,40.9,59,91.7
12,Essential Commodities Act,0,0.2,1.3,4.9,64.1,70.3,29.5,92.9
13,Terrorist & Disruptive Activities Act,0,0,1.3,3.8,2.5,7.5,92.5,40
14,Antiquities & Art Treasures Act,0,0,5.4,18.3,28,51.6,48.4,60.5
15,Dowry Prohibition Act,0.2,0.4,3,4.7,47.9,55.7,43.7,91
16,Child Marriage Restraint Act,0,0,6.8,4.1,56.8,67.6,32.4,93.3
17,Indecent Representation Of Women (p) Act,0,0,1.3,0.1,94.9,96.3,3.7,99.9
18,Copyright Act,0,0,0.3,0.9,72.8,73.9,26,98.8
19,Sati Prevention Act,0,0,0,0,100,100,0,100
20,SC/ST (prevention Of Atrocities) Act - Total,0,0.2,13.2,5.4,45.3,64,35.8,89.4
20,SC/ST (prevention Of Atrocities) Act - (i) Prevention Of Attrocities Act For SCs,0,0.2,13.3,5.6,45.5,64.4,35.4,89
20,SC/ST (prevention Of Atrocities) Act - (ii) Prevention Of Attrocities Act For STs,0,0.4,12.8,3,43.9,59.7,39.9,93.7
21,Forest Act,0,0.3,1.1,5.4,82.3,88.9,10.8,93.8
22,Other SLL Crimes,0,0.5,1.4,6.1,90.2,97.7,1.7,93.7
23,Total Cognizable Crimes Under SLL,0.1,0.4,1.4,5,87.6,94,5.5,94.6
