Sl. No.,Category,States/ UTs,Total No. of Persons Under Arrest Including Those from Previous Year,Number of Persons Released Before Trial,Number of Persons Charge Sheeted,Number of Persons Under Investigation at the end of the Year,Pendency Percentage,Percentage Pendency to All India Total
1,State,Andhra Pradesh,6164,439,4041,1684,27.3,14.1
2,State,Arunachal Pradesh,0,0,0,0,NA,0
3,State,Assam,350,47,76,227,64.9,1.9
4,State,Bihar,8335,320,3991,4024,48.3,33.7
5,State,Chhattisgarh,1321,0,1274,47,3.6,0.4
6,State,Goa,4,0,3,1,25,0
7,State,Gujarat,3175,1,3049,125,3.9,1
8,State,Haryana,691,0,657,34,4.9,0.3
9,State,Himachal Pradesh,85,0,51,34,40,0.3
10,State,Jammu & Kashmir,1,0,0,1,100,0
11,State,Jharkhand,922,22,602,298,32.3,2.5
12,State,Karnataka,5595,50,4951,594,10.6,5
13,State,Kerala,934,18,695,221,23.7,1.9
14,State,Madhya Pradesh,6619,5,6547,67,1,0.6
15,State,Maharashtra,4182,40,3248,894,21.4,7.5
16,State,Manipur,0,0,0,0,NA,0
17,State,Meghalaya,0,0,0,0,NA,0
18,State,Mizoram,0,0,0,0,NA,0
19,State,Nagaland,0,0,0,0,NA,0
20,State,Orissa,2018,0,1642,376,18.6,3.1
21,State,Punjab,580,17,228,335,57.8,2.8
22,State,Rajasthan,3838,0,3792,46,1.2,0.4
23,State,Sikkim,24,3,13,8,33.3,0.1
24,State,Tamil Nadu,2947,94,2031,822,27.9,6.9
25,State,Tripura,16,0,4,12,75,0.1
26,State,Uttar Pradesh,23061,4518,16495,2048,8.9,17.2
27,State,Uttarakhand,72,9,58,5,6.9,0
28,State,West Bengal,35,3,6,26,74.3,0.2
State,State,Total (States),70969,5586,53454,11929,16.8,99.9
29,Union Territory,A & N Islands,0,0,0,0,NA,0
30,Union Territory,Chandigarh,3,0,3,0,0,0
31,Union Territory,D & N Haveli,5,0,5,0,0,0
32,Union Territory,Daman & Diu,0,0,0,0,NA,0
33,Union Territory,Delhi,30,1,29,0,0,0
34,Union Territory,Lakshadweep,0,0,0,0,NA,0
35,Union Territory,Puducherry,47,10,28,9,19.1,0.1
Union Territory,Union Territory,Total (UTs),85,11,65,9,10.6,0.1
Total (All India),Total (All India),Total (All India),71054,5597,53519,11938,16.8,100
