Sl. No.,Category,States/ UTs,No. of Complaints Received/ Alleged During the Year,Complaints Received/Cases Registered - No. of Inquiry Instituted - Departmental,Complaints Received/Cases Registered - No. of Inquiry Instituted - Magisterial,Complaints Received/Cases Registered - No. of Inquiry Instituted - Judicial,Complaints Received/Cases Registered - Complaints / Cases Declared False/ Unsustantiated,Complaints Received/Cases Registered - No. of Cases Registered During the Year,Complaints Received/Cases Registered - No. of Cases - Reported for Regular Deptt. Action,Complaints Received/Cases Registered - No. of Cases - Sent Up for Trials/ Chargesheeted,Police Personnel Involved/Action Taken - No. of Police Personnel Sent Up for Trial During the Year,Police Personnel Involved/Action Taken - No. of Police Personnel whose Cases Withdrawn or Otherwise Disposed of,Police Personnel Involved/Action Taken - No. of Personnel in whose Cases Trial Completed,Police Personnel Involved/Action Taken - No. of Police Personnel - Convicted,Police Personnel Involved/Action Taken - No. of Police Personnel - Acquitted,Departmental Action/Punishment - No. of Police Personnel - Against Whom Disciplinary Action Initiated,Departmental Action/Punishment - No. of Police Personnel - whose Cases Withdrawn or Otherwise Disposed of,Departmental Action/Punishment - No. of Police Personnel - In whose Cases Trial was Completed,Departmental Action/Punishment - No. of Police Personnel - Dismissed/ Removed from Service,Departmental Action/Punishment - No. of Police Personnel - Major Punishment Awarded,Departmental Action/Punishment - No. of Police Personnel - Minor Punishment Awarded
1,State,Andhra Pradesh,722,639,1,30,20,129,382,84,164,9,13,2,11,2839,811,10,59,352,1496
2,State,Arunachal Pradesh,137,137,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,16,28
3,State,Assam,7,0,2,3,0,12,6,6,7,0,0,0,0,53,7,0,1,30,19
4,State,Bihar,36,73,0,33,2,27,1,5,15,1,0,0,0,816,207,459,10,526,351
5,State,Chhattisgarh,1516,703,1,0,1000,413,50,246,0,0,15,9,6,143,58,68,24,64,160
6,State,Goa,64,2,0,1,54,11,1,3,1,0,1,1,0,167,99,36,5,2,128
7,State,Gujarat,786,572,2,18,313,246,373,182,312,43,1,1,0,1216,235,636,55,131,606
8,State,Haryana,1140,896,14,0,1105,42,17,21,29,0,2,0,2,80,0,0,13,45,10
9,State,Himachal Pradesh,284,57,1,0,265,8,3,5,5,1,2,0,2,85,8,20,2,16,24
10,State,Jammu & Kashmir,417,347,3,1,258,40,16,58,25,12,2,0,2,1350,481,196,219,575,324
11,State,Jharkhand,23,0,0,0,0,1,0,0,1,0,0,0,0,521,51,206,7,112,168
12,State,Karnataka,499,438,12,11,13,77,417,39,49,2,6,0,6,757,37,251,9,18,508
13,State,Kerala,3096,2854,0,0,2571,132,53,45,52,7,14,0,14,898,142,377,9,123,245
14,State,Madhya Pradesh,18315,4038,1,3,14306,23,60,26,23,0,1,1,0,294,74,89,18,98,272
15,State,Maharashtra,3928,633,0,0,3011,373,126,130,159,13,22,6,16,203,55,61,25,13,51
16,State,Manipur,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
17,State,Meghalaya,6,6,0,0,0,6,2,2,2,0,0,0,0,0,0,0,0,11,31
18,State,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,State,Nagaland,7,6,1,0,0,3,4,3,7,0,6,0,6,0,0,10,1,3,0
20,State,Orissa,64,29,5,16,0,41,99,0,25,0,0,0,0,264,48,48,2,87,201
21,State,Punjab,3714,1345,8,0,2215,477,49,34,70,15,20,4,16,1401,326,30,96,516,3173
22,State,Rajasthan,1263,384,9,3,867,66,50,31,40,0,6,5,1,4252,0,2877,87,290,2500
23,State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,31,15,15,0,7,8
24,State,Tamil Nadu,139,67,28,44,10,124,72,75,75,10,3,0,3,1510,24,1228,19,279,930
25,State,Tripura,52,40,1,17,1,23,20,18,19,10,3,0,3,89,27,27,14,33,84
26,State,Uttar Pradesh,6015,2998,10,0,3007,3008,2734,92,126,2,2,0,2,3151,412,2739,95,671,1973
27,State,Uttarakhand,377,377,0,0,342,12,23,10,21,0,4,3,1,397,14,343,14,123,206
28,State,West Bengal,46,31,0,9,6,37,29,11,12,0,3,1,2,76,23,29,5,40,127
State,State,Total (States),42654,16673,99,189,29366,5332,4588,1126,1239,125,126,33,93,20731,3154,9755,789,4181,13624
29,Union Territory,A & N Islands,15,0,0,15,0,15,0,6,6,0,2,0,2,26,13,1,0,13,73
30,Union Territory,Chandigarh,234,3,0,0,141,0,3,0,0,0,0,0,0,75,52,0,3,28,35
31,Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Union Territory,Delhi,6031,539,0,0,70,93,0,0,0,0,0,0,0,1185,0,0,87,319,919
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Union Territory,Puducherry,5,0,0,0,0,5,5,0,0,0,0,0,0,107,0,1,0,0,2
Union Territory,Union Territory,Total (UTs),6285,542,0,15,211,113,8,6,6,0,2,0,2,1393,65,2,90,360,1029
Total (All India),Total (All India),Total (All India),48939,17215,99,204,29577,5445,4596,1132,1245,125,128,33,95,22124,3219,9757,879,4541,14653
