Sl. No.,Category,States/ UTs,Number of Deaths in Police Custody During Hospitalisation / Treatment,Number of Deaths in Police Custody Due to Accidents,Number of Deaths in Police Custody by Mob Attack/ Riot,Number of Deaths in Police Custody by Other Criminals,Number of Deaths in Police Custody by Suicide,Number of Deaths in Police Custody While Escaping From Custody,Number of Deaths in Police Custody Illness/ Natural Death
1,State,Andhra Pradesh,11,0,0,2,1,0,0
2,State,Arunachal Pradesh,0,0,0,0,3,0,0
3,State,Assam,0,0,0,0,0,0,2
4,State,Bihar,0,0,0,0,0,0,0
5,State,Chhattisgarh,0,0,0,0,0,0,0
6,State,Goa,0,0,0,0,0,0,0
7,State,Gujarat,2,0,0,0,11,0,9
8,State,Haryana,0,0,0,0,1,0,1
9,State,Himachal Pradesh,0,0,0,0,0,0,0
10,State,Jammu & Kashmir,0,0,0,0,0,0,0
11,State,Jharkhand,0,0,0,0,0,0,0
12,State,Karnataka,0,0,0,0,1,0,1
13,State,Kerala,0,0,0,0,0,0,0
14,State,Madhya Pradesh,0,0,0,0,3,1,0
15,State,Maharashtra,0,0,5,0,11,2,13
16,State,Manipur,0,0,0,0,0,0,0
17,State,Meghalaya,0,0,0,0,1,0,0
18,State,Mizoram,0,0,0,0,1,0,0
19,State,Nagaland,0,0,0,0,0,0,0
20,State,Orissa,0,0,0,0,0,1,0
21,State,Punjab,0,0,0,0,1,0,1
22,State,Rajasthan,2,0,0,0,2,0,0
23,State,Sikkim,0,0,0,0,0,0,0
24,State,Tamil Nadu,0,1,0,0,0,0,0
25,State,Tripura,0,0,0,0,0,0,0
26,State,Uttar Pradesh,0,1,0,0,1,2,1
27,State,Uttarakhand,0,0,0,0,0,0,0
28,State,West Bengal,0,0,0,0,0,0,0
State,State,Total (States),15,2,5,2,37,6,28
29,Union Territory,A & N Islands,0,0,0,0,0,0,0
30,Union Territory,Chandigarh,0,0,0,0,1,0,0
31,Union Territory,D & N Haveli,0,0,0,0,0,0,0
32,Union Territory,Daman & Diu,0,0,0,0,0,0,0
33,Union Territory,Delhi,0,0,0,0,0,0,0
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0
35,Union Territory,Puducherry,0,0,0,0,0,0,0
Union Territory,Union Territory,Total (UTs),0,0,0,0,1,0,0
Total (All India),Total (All India),Total (All India),15,2,5,2,38,6,28
