Sl. No.,Category,States/ UTs,Incidence,Percentage Contribution to All-India Total,Estimated Mid Year Population (In Lakhs)#,Rate of Total Cognizable Crimes,Rank as per Rate of Total Cognizable Crimes,Rank as per Percentage Share
1,State,Andhra Pradesh,3998,11.9,824.61,4.8,2,3
2,State,Arunachal Pradesh,0,0,12.04,0,NA,NA
3,State,Assam,104,0.3,300.79,0.3,21,15
4,State,Bihar,3617,10.8,943.06,3.8,7,4
5,State,Chhattisgarh,600,1.8,237.74,2.5,10,11
6,State,Goa,4,0,16.44,0.2,22,24
7,State,Gujarat,1231,3.7,566.65,2.2,12,9
8,State,Haryana,341,1,238.9,1.4,15,14
9,State,Himachal Pradesh,71,0.2,65.71,1.1,17,17
10,State,Jammu & Kashmir,0,0,125.02,0,NA,NA
11,State,Jharkhand,598,1.8,301.44,2,13,12
12,State,Karnataka,2361,7,576.02,4.1,6,6
13,State,Kerala,519,1.5,343.4,1.5,14,13
14,State,Madhya Pradesh,2965,8.8,696.83,4.3,4,5
15,State,Maharashtra,1192,3.5,1073.47,1.1,16,10
16,State,Manipur,0,0,26.37,0,NA,NA
17,State,Meghalaya,0,0,25.47,0,NA,NA
18,State,Mizoram,0,0,9.84,0,NA,NA
19,State,Nagaland,0,0,21.96,0,NA,NA
20,State,Orissa,1836,5.5,400.33,4.6,3,7
21,State,Punjab,101,0.3,266.89,0.4,19,16
22,State,Rajasthan,4302,12.8,649.94,6.6,1,2
23,State,Sikkim,17,0.1,5.96,2.9,8,22
24,State,Tamil Nadu,1618,4.8,665.76,2.4,11,8
25,State,Tripura,4,0,35.24,0.1,25,23
26,State,Uttar Pradesh,8009,23.8,1920.49,4.2,5,1
27,State,Uttarakhand,42,0.1,95.43,0.4,18,18
28,State,West Bengal,19,0.1,882.07,0,26,21
State,State,Total (States),33549,99.8,11327.87,3,NA,NA
29,Union Territory,A & N Islands,0,0,4.15,0,NA,NA
30,Union Territory,Chandigarh,2,0,10.71,0.2,24,25
31,Union Territory,D & N Haveli,1,0,2.65,0.4,20,26
32,Union Territory,Daman & Diu,0,0,1.89,0,NA,NA
33,Union Territory,Delhi,34,0.1,172.5,0.2,23,19
34,Union Territory,Lakshadweep,0,0,0.69,0,NA,NA
35,Union Territory,Puducherry,29,0.1,10.8,2.7,9,20
Union Territory,Union Territory,Total (UTs),66,0.2,203.39,0.3,NA,NA
Total (All-India),Total (All-India),Total (All-India),33615,100,11531.26,2.9,NA,NA
