Sl. No.,Crime Head,Total No. of Cases for Investigation Including Pending Cases from previous year,Cases Withdrawn by Govt,No. of Cases in which Investigation Refused,No. of Cases in which Investigation Was Completed - Charge Found False / Mistake of Fact or Law Etc.,No. of Cases in which Investigation Was Completed - Final Report True Submitted,No. of Cases in which Investigation Was Completed - Charge Sheets Submitted,No. of Cases in which Investigation Was Completed - Total,No. of Cases Pending Investigation at the end of the year
1,Arms Act,90301,1,60,98,876,76058,77032,13208
2,Narcotic Drugs & Psychotropic Substances Act,42964,0,6,135,1031,30144,31310,11648
3,Gambling Act,165318,0,3,19,114,157243,157376,7939
4,Excise Act,181258,17,137,122,807,162004,162933,18171
5,Prohibition Act,463688,641,817,9921,13524,341387,364832,97398
6,Explosives & Explosive Substances Act,6865,0,44,32,435,3441,3908,2913
7,Immoral Traffic (p) Act,4111,0,3,16,23,2676,2715,1393
8,Indian Railways Act,272,0,1,6,63,64,133,138
9,Registration Of Foreigners Act,1906,0,0,3,14,1423,1440,466
10,Protection Of Civil Rights Act - Total,319,0,1,68,21,147,236,82
10,Protection Of Civil Rights Act - (i) PCR Act For SCs,302,0,0,68,12,145,225,77
10,Protection Of Civil Rights Act - (ii) PCR Act For STs,17,0,1,0,9,2,11,5
11,Indian Passport Act,2123,1,1,16,71,782,869,1252
12,Essential Commodities Act,12861,0,22,165,631,8249,9045,3794
13,Terrorist & Disruptive Activities Act,80,0,0,1,3,2,6,74
14,Antiquities & Art Treasures Act,93,0,0,5,17,26,48,45
15,Dowry Prohibition Act,9130,22,34,278,431,4372,5081,3993
16,Child Marriage Restraint Act,148,0,0,10,6,84,100,48
17,Indecent Representation Of Women (p) Act,1082,0,0,14,1,1027,1042,40
18,Copyright Act,8004,3,0,25,69,5823,5917,2084
19,Sati Prevention Act,1,0,0,0,0,1,1,0
20,SC/ST (prevention Of Atrocities) Act - Total,17782,1,36,2356,958,8062,11376,6369
20,SC/ST (prevention Of Atrocities) Act - (i) Prevention Of Attrocities Act For SCs,16167,1,30,2149,910,7353,10412,5724
20,SC/ST (prevention Of Atrocities) Act - (ii) Prevention Of Attrocities Act For STs,1615,0,6,207,48,709,964,645
21,Forest Act,5597,0,16,60,305,4609,4974,607
22,Other SLL Crimes,3049832,1523,16018,43221,184889,2752100,2980210,52081
23,Total Cognizable Crimes Under SLL,4063735,2209,17199,56571,204289,3559724,3820584,223743
