Sl. No. (Col. 1),Crime Head (Col. 2),Cases Withdrawn by Govt. (Col. 3),Percentage of Cases to Total Cases for Investigation in Which (Col. 4) - Investigation Refused,Percentage of Cases to Total Cases for Investigation in Which Investigation Completed (Col. 5) - Charge Found False / Mistake of Fact or Law Etc.,Percentage of Cases to Total Cases for Investigation in Which Investigation Completed (Col. 6) - Final Report True Submitted,Percentage of Cases to Total Cases for Investigation in Which Investigation Completed (Col. 7) - Charge Sheet Submitted,Percentage of Cases to Total Cases for Investigation in Which Investigation Completed (Col. 8) - Total = Col. {(5) + (6) + (7)},No. of Cases Pending Investigation at the end of the year (Col. 9),Charge Sheeting Rate (Col. 10) = Col. (7 / 6 + 7 × 100)
1,Infanticide (Sec.315 IPC),0,0,2.4,33.5,45.7,81.7,18.3,57.7
2,"Murder (Sec.302, 303 IPC)",0.1,0.1,3.4,11.1,56.7,71.1,28.8,83.7
3,Rape (Sec.376 IPC),0,0,3.7,2.6,66.2,72.6,27.4,96.2
4,"Kidnapping .& Abduction ((Sec.363-369,371-373 IPC)",0.1,0.6,11.9,11.9,43.9,67.7,31.6,78.6
5,"Foeticide (Sec.315,316 IPC)",0,0,7.6,29.8,17.6,55,45,37.1
6,Abetment Of Suicide (Sec.305 IPC),0,0,0,7.1,45.2,52.4,47.6,86.4
7,Exposure And Abandonment (Sec. 317 IPC),0,0.1,2.8,66.5,8.1,77.4,22.5,10.9
8,Procuration Minor Girls (Sec. 366a IPC),0,0,7.3,7.5,35.7,50.5,49.5,82.6
9,Buying Of Girls For Prost. (Sec.373 IPC),0,0,0,3.4,46.6,50,50,93.1
10,Selling Of Girls For Prost. (Sec.372 IPC),0,0,1.5,3,25.4,29.9,70.1,89.5
11,"Child Marriage Restraint Act, 1978",0,0,6.8,4.1,56.8,67.6,32.4,93.3
12,Other Crime,0,0.1,2,6.9,74.3,83.2,16.8,91.5
Total,Total,0.1,0.2,6.2,10.5,56.4,73.1,26.6,84.4
