Sl. No.,Crime Head,Total No. Persons under Trial Including those from Previous Year,No. of Persons Whose Cases Compounded or Withdrawn,No. of Persons Whose Trial Completed,No. of Persons Whose Trial Remained Pending at the end of the year,No. of Persons Convicted,Percentage of Persons - Whose Trials Remained Pending,Percentage of Persons - Convicted to Trials Completed
1,"Murder (Sec. 302,303 IPC)",1357,4,219,1134,78,83.6,35.6
2,Rape (Sec.376 IPC),2896,21,595,2280,168,78.7,28.2
3,"Kidnapping & Abduction (Sec. 363-369, 371-373 IPC)",469,2,50,417,3,88.9,6
4,Dacoity (Sec.395-398 IPC),157,0,7,150,0,95.5,0
5,"Robbery (392-394, 397,398 IPC)",118,0,27,91,4,77.1,14.8
6,"Arson (Sec.435, 436, 438 IPC)",539,1,93,445,16,82.6,17.2
7,"Hurt (Sec.323-333, 335-338 IPC)",5733,155,1125,4453,298,77.7,26.5
8,"PCR Act, 1955 For SCs",88,7,35,46,0,52.3,0
9,"SC/ST Prev. of Atrocities Act, 1989 For SCs",9587,38,1978,7571,304,79,15.4
10,Other Crime against STs,15544,342,3263,11939,956,76.8,29.3
11,Total,36488,570,7392,28526,1827,78.2,24.7
