Sl. No.,Category,States/ UTs,Arms Act,Narcotic Drugs & Phychotropic Substances Act,Gambling Act,Excise Act,Prohibition Act,Explosives & Explosive Subs. Act,Immoral Traffic (Prevention) Act,Railways Act,Registration of Foreigners Act,Protection of Civil Rights Act - Total,Protection of Civil Rights Act - For SCs,Protection of Civil Rights Act - For STs,Indian Passport Act,Essential Commodities Act,Terrorist & Disruptive Activities Act,Antiquities & Art Treasures Act,Dowry Prohibition Act,Child Marriage Restraint Act,Indecent Representation of Women (P) Act,Copyright Act,Sati Prevention Act,SC/ST (Prev.) of Atrocities Act - Total,SC/ST (Prev.) of Atrocities Act for SCs,SC/ST (Prev.) of Atrocities Act for STs,Forest Act,Other SLL Crimes,Total Cognizable Crimes Under SLL
1,State,Andhra Pradesh,2,1,12,2,6,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,77,106
2,State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,State,Assam,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
4,State,Bihar,31,8,0,24,0,2,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,5,0,0,4,81
5,State,Chhattisgarh,17,5,57,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,2,0,106,210
6,State,Goa,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,State,Gujarat,1,1,90,0,233,0,10,0,2,0,0,0,0,0,0,0,0,2,0,7,0,3,3,0,0,208,557
8,State,Haryana,33,6,97,103,0,0,15,0,7,0,0,0,0,2,0,0,0,0,0,2,0,1,1,0,0,9,275
9,State,Himachal Pradesh,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,State,Jammu & Kashmir,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,State,Jharkhand,21,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44,71
12,State,Karnataka,0,2,2,7,0,0,0,3,1,1,1,0,0,0,0,0,2,0,0,1,0,4,4,0,0,22,45
13,State,Kerala,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,50,57
14,State,Madhya Pradesh,106,6,359,161,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,147,783
15,State,Maharashtra,16,4,119,0,128,0,0,0,0,0,0,0,4,12,0,0,0,0,0,13,0,2,2,0,0,141,439
16,State,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,State,Meghalaya,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8
18,State,Mizoram,0,1,0,0,6,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11
19,State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,State,Orissa,0,0,5,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19
21,State,Punjab,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
22,State,Rajasthan,8,2,9,34,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,78,138
23,State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
24,State,Tamil Nadu,0,21,23,0,30,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,22,22,0,0,504,609
25,State,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,State,Uttar Pradesh,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,2,19
27,State,Uttarakhand,3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,35
28,State,West Bengal,3,7,4,0,0,0,0,0,24,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,47
State,State,Total (States),265,68,779,370,407,7,32,6,48,2,2,0,9,15,0,0,9,4,0,26,0,46,44,2,1,1436,3530
29,Union Territory,A & N Islands,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
30,Union Territory,Chandigarh,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5
31,Union Territory,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Union Territory,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Union Territory,Delhi,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Union Territory,Puducherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
Union Territory,Union Territory,Total (UTs),0,2,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,15
Total (All India),Total (All India),Total (All India),265,70,779,374,408,7,33,6,48,2,2,0,9,15,0,0,9,4,0,27,0,46,44,2,1,1442,3545
