Sl. No.,Category,States/ UTs,Total No. of Persons Under Arrest Including Those from Previous Year,Number of Persons Released Before Trial,Number of Person Charge Sheeted,Number of Persons Under Investigation at the end of the Year,Pendency Percentage,Percentage of Pendency to All India Total
1,State,Andhra Pradesh,1305,60,932,313,24,24.7
2,State,Arunachal Pradesh,53,1,52,0,0,0
3,State,Assam,257,28,52,177,68.9,14
4,State,Bihar,241,32,89,120,49.8,9.5
5,State,Chhattisgarh,919,0,913,6,0.7,0.5
6,State,Goa,8,0,0,8,100,0.6
7,State,Gujarat,607,0,588,19,3.1,1.5
8,State,Haryana,0,0,0,0,NA,0
9,State,Himachal Pradesh,9,0,9,0,0,0
10,State,Jammu & Kashmir,0,0,0,0,NA,0
11,State,Jharkhand,412,20,232,160,38.8,12.6
12,State,Karnataka,979,15,856,108,11,8.5
13,State,Kerala,231,0,210,21,9.1,1.7
14,State,Madhya Pradesh,2116,0,2086,30,1.4,2.4
15,State,Maharashtra,954,5,767,182,19.1,14.4
16,State,Manipur,4,0,0,4,100,0.3
17,State,Meghalaya,0,0,0,0,NA,0
18,State,Mizoram,0,0,0,0,NA,0
19,State,Nagaland,0,0,0,0,NA,0
20,State,Orissa,819,0,748,71,8.7,5.6
21,State,Punjab,0,0,0,0,NA,0
22,State,Rajasthan,974,0,969,5,0.5,0.4
23,State,Sikkim,13,0,6,7,53.8,0.6
24,State,Tamil Nadu,55,0,47,8,14.5,0.6
25,State,Tripura,13,4,9,0,0,0
26,State,Uttar Pradesh,18,0,18,0,0,0
27,State,Uttarakhand,0,0,0,0,NA,0
28,State,West Bengal,37,7,15,15,40.5,1.2
State,State,Total (States),10024,172,8598,1254,12.5,99.1
29,Union Territory,A & N Islands,11,0,2,9,81.8,0.7
30,Union Territory,Chandigarh,0,0,0,0,NA,0
31,Union Territory,D & N Haveli,23,0,21,2,8.7,0.2
32,Union Territory,Daman & Diu,0,0,0,0,NA,0
33,Union Territory,Delhi,0,0,0,0,NA,0
34,Union Territory,Lakshadweep,0,0,0,0,NA,0
35,Union Territory,Puducherry,0,0,0,0,NA,0
Union Territory,Union Territory,Total (UTs),34,0,23,11,32.4,0.9
Total (All India),Total (All India),Total (All India),10058,172,8621,1265,12.6,100
