Sl. No. (Col. 1),Crime Head (Col. 2),Total No. Persons under Arrest Including those from Previous Year (Col. 3),No. of Persons whose (Col. 4) - Cases Compounded or Withdrawn,No. of Persons whose (Col. 5) - Trial Completed,No. of Persons whose (Col. 6) - Trial Remained Pending at the end of the year,No. of Persons Convicted (Col. 7),Percentage of Persons - Trials Remained Pending (Col. 8) = Col. (6 ×100 /3,Percentage of Persons - Convicted to Trials Completed (Col. 9) = Col. (7 × 100 /5
1,Infanticide (Sec.315 IPC),418,1,97,320,41,76.6,42.3
2,"Murder (Sec.302, 303 IPC)",7875,11,1571,6293,754,79.9,48
3,Rape (Sec.376 IPC),20688,47,3784,16857,1177,81.5,31.1
4,"Kidnapping .& Abduction ((Sec.363-369,371-373 IPC)",21178,91,3751,17336,1302,81.9,34.7
5,"Foeticide (Sec.315,316 IPC)",214,1,50,163,10,76.2,20
6,Abetment of Suicide (Sec.305 IPC),142,0,26,116,4,81.7,15.4
7,Exposure and Abandonment (Sec. 317 IPC),1112,0,180,932,16,83.8,8.9
8,Procuration Minor Girls (Sec. 366a IPC),963,7,187,769,50,79.9,26.7
9,Buying of Girls for Prost. (Sec.373 IPC),183,0,27,156,4,85.2,14.8
10,Seling of Girls for Prost. (Sec.372 IPC),202,1,24,177,2,87.6,8.3
11,"Child Marriage Restraint Act, 1978",2100,1,336,1763,71,84,21.1
12,Other Crime,27893,747,6239,20907,2527,75,40.5
Total,Total,82968,907,16272,65789,5958,79.3,36.6
