Sl. No.,States/ UTs,2006,2007,2008,Percentage Variation in - 2007 over 2006,Percentage Variation in - 2008 over 2007
1,Andhra Pradesh,871,993,1064,14,7.2
2,Assam,355,272,251,-23.4,-7.7
3,Bihar,2352,2076,2238,-11.7,7.8
4,Chhattisgarh,386,291,301,-24.6,3.4
5,Gujarat,1316,1259,1156,-4.3,-8.2
6,Haryana,859,1139,1260,32.6,10.6
7,Himachal Pradesh,6,4,8,-33.3,100
8,Jammu & Kashmir,20,27,13,35,-51.9
9,Jharkhand,591,546,429,-7.6,-21.4
10,Karnataka,543,488,447,-10.1,-8.4
11,Kerala,204,214,209,4.9,-2.3
12,Madhya Pradesh,2078,2006,2029,-3.5,1.1
13,Maharashtra,3276,3389,3924,3.4,15.8
14,Orissa,756,624,808,-17.5,29.5
15,Punjab,302,306,401,1.3,31
16,Rajasthan,1032,972,745,-5.8,-23.4
17,Tamil Nadu,446,450,637,0.9,41.6
18,Uttar Pradesh,1683,2153,2632,27.9,22.2
19,West Bengal,1346,1028,1197,-23.6,16.4
20,Delhi UT,1076,926,951,-13.9,2.7
21,Total (All-India),19498,19163,20700,-1.7,8
