Sl. No.,Category,States/ UTs,Total No. of Cases for Trial Including Pending Cases from previous year,Cases Withdrawn by Govt.,No. of Cases - Compounded or Withdrawn,No. of Cases In Which Trials Completed Convicted,No. of Cases In Which Trials Completed Acquitted or Discharged,No. of Cases In Which Trials Completed Total,No. of Cases - Pending Trial at the end of the year,Pendency Percentage,Percentage of Pendency to All India Total,Conviction Rate
1,State,Andhra Pradesh,5991,0,71,213,1392,1605,4315,72,5.1,13.3
2,State,Arunachal Pradesh,2,0,0,0,0,0,2,100,0,NA
3,State,Assam,162,0,0,7,19,26,136,84,0.2,26.9
4,State,Bihar,8115,0,49,232,1095,1327,6739,83,8,17.5
5,State,Chhattisgarh,1618,3,43,122,235,357,1218,75.3,1.4,34.2
6,State,Goa,4,0,0,0,0,0,4,100,0,NA
7,State,Gujarat,8575,0,9,38,1058,1096,7470,87.1,8.8,3.5
8,State,Haryana,795,0,0,16,135,151,644,81,0.8,10.6
9,State,Himachal Pradesh,242,0,9,3,51,54,179,74,0.2,5.6
10,State,Jammu & Kashmir,6,0,0,0,0,0,6,100,0,NA
11,State,Jharkhand,854,0,36,30,158,188,630,73.8,0.7,16
12,State,Karnataka,7048,0,20,47,1658,1705,5323,75.5,6.3,2.8
13,State,Kerala,1178,0,4,9,199,208,966,82,1.1,4.3
14,State,Madhya Pradesh,14807,0,367,1665,2836,4501,9939,67.1,11.7,37
15,State,Maharashtra,6593,2,7,60,668,728,5858,88.9,6.9,8.2
16,State,Manipur,0,0,0,0,0,0,0,NA,0,NA
17,State,Meghalaya,0,0,0,0,0,0,0,NA,0,NA
18,State,Mizoram,0,0,0,0,0,0,0,NA,0,NA
19,State,Nagaland,0,0,0,0,0,0,0,NA,0,NA
20,State,Orissa,6250,0,9,89,691,780,5461,87.4,6.5,11.4
21,State,Punjab,319,0,0,9,47,56,263,82.4,0.3,16.1
22,State,Rajasthan,10042,0,140,711,835,1546,8356,83.2,9.9,46
23,State,Sikkim,26,0,0,12,3,15,11,42.3,0,80
24,State,Tamil Nadu,3394,0,14,140,690,830,2550,75.1,3,16.9
25,State,Tripura,14,0,0,0,6,6,8,57.1,0,0
26,State,Uttar Pradesh,30266,0,42,3299,2715,6014,24210,80,28.6,54.9
27,State,Uttarakhand,300,0,0,37,44,81,219,73,0.3,45.7
28,State,West Bengal,27,0,0,1,4,5,22,81.5,0,20
State,State,Total (States),106628,5,820,6740,14539,21279,84529,79.3,99.8,31.7
29,Union Territory,A & N Islands,0,0,0,0,0,0,0,NA,0,NA
30,Union Territory,Chandigarh,4,0,0,0,0,0,4,100,0,NA
31,Union Territory,D & N Haveli,5,0,0,0,1,1,4,80,0,0
32,Union Territory,Daman & Diu,1,0,0,0,1,1,0,0,0,0
33,Union Territory,Delhi,92,0,0,3,2,5,87,94.6,0.1,60
34,Union Territory,Lakshadweep,0,0,0,0,0,0,0,NA,0,NA
35,Union Territory,Puducherry,43,1,0,0,5,5,38,88.4,0,0
Union Territory,Union Territory,Total (UTs),145,1,0,3,9,12,133,91.7,0.2,25
Total (All India),Total (All India),Total (All India),106773,6,820,6743,14548,21291,84662,79.3,100,31.7
