Sl. No.,Category,States/ UTs,2007,2008,Percentage Variation In 2008 Over 2007,Percentage Contribution to All India During 2008
1,State,Andhra Pradesh,236176,231386,-2,8
2,State,Arunachal Pradesh,2478,2621,5.8,0.1
3,State,Assam,59402,56084,-5.6,1.9
4,State,Bihar,219895,232962,5.9,8.1
5,State,Chhattisgarh,60239,67579,12.2,2.3
6,State,Goa,2619,3159,20.6,0.1
7,State,Gujarat,169444,169084,-0.2,5.9
8,State,Haryana,70746,71553,1.1,2.5
9,State,Himachal Pradesh,19598,19747,0.8,0.7
10,State,Jammu & Kashmir,32936,25642,-22.1,0.9
11,State,Jharkhand,46489,50136,7.8,1.7
12,State,Karnataka,134054,150998,12.6,5.2
13,State,Kerala,149117,156403,4.9,5.4
14,State,Madhya Pradesh,329280,343047,4.2,11.9
15,State,Maharashtra,291313,311598,7,10.8
16,State,Manipur,1306,1325,1.5,0
17,State,Meghalaya,1557,1666,7,0.1
18,State,Mizoram,2062,2162,4.8,0.1
19,State,Nagaland,795,1024,28.8,0
20,State,Orissa,80874,77827,-3.8,2.7
21,State,Punjab,47042,46525,-1.1,1.6
22,State,Rajasthan,183814,181167,-1.4,6.3
23,State,Sikkim,623,897,44,0
24,State,Tamil Nadu,201372,212832,5.7,7.4
25,State,Tripura,4578,6001,31.1,0.2
26,State,Uttar Pradesh,246821,275250,11.5,9.5
27,State,Uttarakhand,14473,11392,-21.3,0.4
28,State,West Bengal,109678,121906,11.1,4.2
State,State,Total (States),2718781,2831973,4.2,98.3
29,Union Territory,A & N Islands,1065,1064,-0.1,0
30,Union Territory,Chandigarh,2846,2984,4.8,0.1
31,Union Territory,D & N Haveli,413,597,44.6,0
32,Union Territory,Daman & Diu,393,398,1.3,0
33,Union Territory,Delhi,50744,38286,-24.6,1.3
34,Union Territory,Lakshadweep,26,62,138.5,0
35,Union Territory,Puducherry,6291,6922,10,0.2
Union Territory,Union Territory,Total (UTs),61778,50313,-18.6,1.7
Total (All India),Total (All India),Total (All India),2780559,2882286,3.7,100
