SI. No.,Category,States/ UTs,Category of Complaints Received - Oral,Category of Complaints Received - Written,Category of Complaints Received - Distress call over Phone 100,Category of Complaints Received - Complaints Initiated Suo- moto by Police,Category of Complaints Received - Total Complaints,No. of Cases Registered Under - IPC,No. of Cases Registered Under - SLL,Total
1,State,Andhra Pradesh,124805,307329,14900,62866,509900,179275,246829,426104
2,State,Arunachal Pradesh,3,2349,4,88,2444,2374,70,2444
3,State,Assam,187,54693,135,625,55640,53333,2307,55640
4,State,Bihar,14237,110788,1113,6407,132545,122669,9876,132545
5,State,Chhattisgarh,140978,146979,2080,8240,298277,51442,246835,298277
6,State,Goa,1374,927,0,2854,5155,2742,2413,5155
7,State,Gujarat,112749,134124,2299,74951,324123,123808,200315,324123
8,State,Haryana,0,100003,9235,2536,111774,55344,23155,78499
9,State,Himachal Pradesh,3330,11805,383,2525,18043,13976,4067,18043
10,State,Jammu & Kashmir,3448,14336,122,4643,22549,20604,1945,22549
11,State,Jharkhand,6729,34462,27,638,41856,38686,3170,41856
12,State,Karnataka,29922,99718,928,17930,148498,127540,19651,147191
13,State,Kerala,100411,222140,8298,147581,478430,110620,141788,252408
14,State,Madhya Pradesh,289114,62138,182,39574,391008,206556,184452,391008
15,State,Maharashtra,233929,499832,7307,404182,1145250,206243,120138,326381
16,State,Manipur,26,3302,0,1107,4435,3349,1086,4435
17,State,Meghalaya,446,2246,56,114,2862,2318,157,2475
18,State,Mizoram,0,2536,0,145,2681,1989,692,2681
19,State,Nagaland,95,1307,1,223,1626,1202,398,1600
20,State,Orissa,1458,60729,3,5728,67918,56755,11163,67918
21,State,Punjab,5363,238283,6270,594,250510,35314,20044,55358
22,State,Rajasthan,12549,138247,1,40736,191533,151174,40359,191533
23,State,Sikkim,739,2144,286,54,3223,730,81,811
24,State,Tamil Nadu,32053,214206,10037,412334,668630,176833,491797,668630
25,State,Tripura,138,5304,0,139,5581,5336,245,5581
26,State,Uttar Pradesh,1070,173441,95,1896102,2070708,168996,1901712,2070708
27,State,Uttarakhand,342,15521,0,142619,158482,8856,149626,158482
28,State,West Bengal,109984,94157,20694,5073,229908,105419,6956,112375
State,State,Total (States),1225479,2753046,84456,3280608,7343589,2033483,3831327,5864810
29,Union Territory,A & N Islands,740,123,39,4880,5782,882,4900,5782
30,Union Territory,Chandigarh,0,6192,36356,14,42562,3931,605,4536
31,Union Territory,D & N Haveli,366,46,0,5,417,401,16,417
32,Union Territory,Daman & Diu,153,86,0,21,260,248,12,260
33,Union Territory,Delhi,13747,256013,489679,2305,761744,49350,6754,56104
34,Union Territory,Lakshadweep,0,177,0,0,177,95,7,102
35,Union Territory,Puducherry,1362,4070,0,661,6093,4989,1104,6093
Union Territory,Union Territory,Total (UTs),16368,266707,526074,7886,817035,59896,13398,73294
Total (All-India),Total (All-India),Total (All-India),1241847,3019753,610530,3288494,8160624,2093379,3844725,5938104
