Sl. No.,Crime Head,2004,2005*,2006,2007,2008#
1,Arms Act,1.8,2.3,2.4,2,2
2,Narcotic Drugs & Psychotropic Substances Act,0.7,0.9,1,0.8,0.8
3,Gambling Act,4.5,5.9,5.4,4.9,4.1
4,Excise Act,3.5,4.7,4.6,3.8,4.2
5,Prohibition Act,9,10.2,9.8,9.2,9.4
6,Explosives & Explosive Substances Act,0.1,0.1,0.1,0.1,0.1
7,Immoral Traffic (p) Act,0.1,0.2,0.1,0.1,0.1
8,Indian Railways Act,0.5,0,0,0,0
9,Registration Of Foreigners Act,0,0.1,0.1,0.1,0
10,Protection Of Civil Rights Act - Total,0,0,0,0,0
10,Protection Of Civil Rights Act - (i) PCR Act For SCs,0,0,0,0,0
10,Protection Of Civil Rights Act - (ii) PCR Act For STSs,0,0,0,0,0
11,Indian Passport Act,0,0,0,0,0
12,Essential Commodities Act,0.1,0.2,0.3,0.2,0.2
13,Terrorist & Disruptive Activities Act,0,0,0,0,0
14,Antiquities & Art Treasures Act,0,0,0,0,0
15,Dowry Prohibition Act,0.1,0.1,0.1,0.2,0.1
16,Child Marriage Restraint Act,0,0,0,0,0
17,Indecent Representation Of Women (p) Act,0,0.1,0,0,0
18,Copyright Act,0.1,0.2,0.2,0.2,0.2
19,Sati Prevention Act,0,0,0,0,0
20,SC/ST (prevention Of Atrocities) Act - Total,0.2,0.3,0.3,0.3,0.3
20,SC/ST (prevention Of Atrocities) Act - (i) Prevention Of Attrocities Act For SCs,0.2,0.3,0.3,0.3,0.3
20,SC/ST (prevention Of Atrocities) Act - (ii) Prevention Of Attrocities Act For STs,0,0,0,0,0
21,Forest Act,0.1,0.1,0.1,0.1,0.1
22,Other SLL Crimes,78.9,74.5,75.4,78,78.2
23,Total Cognizable Crimes Under SLL,100,100,100,100,100
