SL. No.,Heads of Crime,Percentage of Cases Compounded or withdrawn to Total Cases for Trial,Percentage of Cases in which Trials were Completed to Total Cases for Trial,Percentage of Cases Pending Trial at the End of the Year to Total Cases for Trial,Percentage of Cases Ended in Conviction to Total Cases for which Trials were Completed
1,Murder ,0.6,30.2,69.1,45.3
2,Culpable Homicide Not Amounting to Murder,1.3,25.8,72.9,47
3,Rape,1,30.4,68.6,35.2
4,Kidnapping & Abduction,1.5,23.6,75,35.4
5,Dacoity,0.6,18.6,80.8,37.2
6,Robbery,1,22.3,76.6,44.6
7,Burglary,2.9,27.5,69.6,58.8
8,Thefts,4.4,27.8,67.9,65
9,Riots,5.9,17.3,76.7,32.6
10,Criminal Breach of Trust,2.3,19.1,78.6,52.8
11,Cheating ,3.6,20.8,75.6,51.4
12,Counterfeiting,1.4,23.7,74.8,43.5
13,Other IPC Offences,8.4,26.2,65.4,57.2
14,Total Cognizable Crime,6,25.3,68.8,55.9
