SL. No.,Crime Heads,Total number of persons in custody or on bail during the stage of investigation including persons under arrest carried over from prevoius year ,Total number of persons in custody or on bail during the stage of investigation at the end of the year,Persons in whose cases chargesheets were laid during the year,Percentage of persons in custody or on bail during the stage of investigation pending at the end of the year to total persons in custody during the stage of investigation,Percentage of persons in whose cases chargesheets were laid to total persons under custody or on bail during the stage of investigation
1,Murder ,55072,8916,42910,16.2,77.9
2,Culpable Homicide Not Amounting to Murder,6281,1155,4715,18.4,75.1
3,Rape,7142,1357,5231,19,73.2
4,Kidnapping & Abduction,19643,3568,13484,18.2,68.6
5,Dacoity,66064,13975,37243,21.2,56.4
6,Robbery,28800,4184,20058,14.5,59.6
7,Burglary,124837,12288,97119,9.8,77.8
8,Thefts,269667,26132,205617,9.7,76.2
9,Riots,599968,79465,446681,13.2,74.4
10,Criminal Breach of Trust,24445,6830,15366,27.9,62.9
11,Cheating ,20472,5163,12786,25.2,62.5
12,Counterfeiting,672,227,273,33.8,40.6
13,Total Cognizable Crime,2046555,240527,1599287,11.8,78.1
