SL. No.,Crime Heads,Total number of persons in custody during the stage of investigation,Number of Persons in custody or on bail during the stage of investigation at the end of the year,Persons in whose cases chargesheets were laid during the year,Percentage of persons in custody or on bail during the stage of investigation pending at the end of the year to total custody during the stage of investigation,Percentage of persons in whose cases chargesheets were laid to total persons under custody during the stage of investigation
1,Arms Act,59347,5821,52877,9.8,89.1
2,Opium Act,16697,4180,12378,25,74.1
3,Gambling Act ,411060,20626,388840,5,94.6
4,Excise Act,128534,22642,104796,17.6,81.5
5,Prohibition Act,1009045,423706,576713,42,57.2
6,Explosives & Explosive Substances Act,2545,764,1506,30,59.2
7,Suppression of Immoral Traffic in Women & Girls Act,17328,868,16345,5,94.3
8,Motor Vehicles Act,720371,25616,691727,3.6,96
9,Prevention of Corruption Act,640,283,310,44.2,48.4
10,Customs Act,291,27,237,9.3,81.4
11,Indian Railways Act,33881,616,33005,1.8,97.4
12,Other Offences Under Local & Special Laws Act,1096394,21691,1060163,2,96.7
13,Total,3496133,526840,2938897,15.1,84.1
