SL. No.,Heads of Crime,Total Number of Cases for Trial During the Year Including Cases Carried over from Previous Year,Number of Cases Compounded or Withdrawn During the Year,Number of Cases in which Trials Were Completed During the Year,Number of Cases Ended in Conviction During the Year,Number of Cases Pending Trial at the End of the Year
1,Murder ,38959,247,11775,5333,26937
2,Culpable Homicide Not Amounting to Murder,6535,87,1684,791,4764
3,Rape,8947,86,2721,959,6140
4,Kidnapping & Abduction,19863,293,4679,1658,14891
5,Dacoity,29903,193,5554,2065,24156
6,Robbery,33783,347,7543,3362,25893
7,Burglary,172995,5051,47592,27979,120352
8,Thefts,368623,16137,102300,66490,250186
9,Riots,201205,11941,34843,11371,154421
10,Criminal Breach of Trust,43135,1002,8223,4340,33910
11,Cheating ,29857,1078,6209,3194,22570
12,Counterfeiting,485,7,115,50,363
13,Other IPC Offences,849871,71579,222410,127120,555882
14,Total Cognizable Crimes Under IPC,1804161,108048,455648,254712,1240465
