SL. No.,Heads of Crime,Percentage of Cases not Investigated or Mistake of Fact or Law or Non Cognizable to Total Cases for Investigation,Percentage of Cases in which Investigation was Completed to Total Cases for Investigation,Percentage of Cases Pending Investigation at the End of the Year to Total Cases for Investigation,Percentage of Cases Chargesheeted to Total Cases in which Investigation was Completed
1,Arms Act,1.2,86.7,12.1,96.4
2,Opium Act,0.3,76,23.7,98.4
3,Gambling Act ,0.4,95.4,4.1,99.8
4,Excise Act,0.3,81.3,18.4,98.7
5,Prohibition Act,1.9,63.1,35.1,90.9
6,Explosives & Explosive Substances Act,3.8,61.2,35,82.4
7,Suppression of Immoral Traffic Act,0.1,96.7,3.2,99.6
8,Motor Vehicles Act,0.3,95.8,3.9,99.3
9,Prevention of Corruption Act,2,75.9,22.2,96.5
10,Customs Act,15.2,73.8,10.9,94.7
11,Indian Railways Act,0.8,95.8,3.4,95.8
12,Other Offences,1.3,96.1,2.5,99.2
13,Total,1.1,84.9,14,97.3
