SL. No.,Category,States/U.Ts/Cities,Murder - 1977,Murder - 1978,Murder - Percentage Variation,Kidnapping & Abduction - 1977,Kidnapping & Abduction - 1978,Kidnapping & Abduction - Percentage Variation,Dacoity - 1977,Dacoity - 1978,Dacoity - Perentage Variation,Robbery - 1977,Robbery - 1978,Robbery - Percentage Variation,Burglary - 1977,Burglary - 1978,Burglary - Percentage Variation ,Thefts - 1977,Thefts - 1978,Thefts - Percentage Variation,Riots - 1977,Riots - 1978,Riots - Percentage Variation,Criminal Breach of Trust - 1977,Criminal Breach of Trust - 1978,Criminal Breach of Trust - Percentage Variation,Cheating  - 1977,Cheating  - 1978,Cheating  - Percentage Variation,Counterfeiting - 1977,Counterfeiting - 1978,Counterfeiting - Percentage Variation,Total Cognizable Crime - 1977,Total Cognizable Crime - 1978,Total Cognizable Crime - Percentage Variation
1,State,Andhra Pradesh ,1268,1138,-10.3,230,313,36.1,245,283,15.5,373,393,5.4,7569,2471,-67.4,16991,18554,9.2,3960,4461,12.7,625,639,2.2,701,734,4.7,112,34,-69.6,66852,68092,1.9
2,State,Assam,414,495,19.6,598,573,-4.2,260,252,-3.1,397,390,-1.8,7079,6180,-12.7,9867,9134,-7.4,3783,4653,23,467,451,-3.4,428,546,27.6,2,2,0,36050,37140,3
3,State,Bihar,1963,2002,-2,887,964,8.7,2675,2684,0.3,1439,1559,8.3,17670,15396,-12.9,29939,30385,1.5,12349,15747,27.5,1425,1142,-19.9,1033,983,-4.8,10,56,460,96897,100121,3.3
4,State,Gujarat,847,896,5.8,500,542,8.4,115,144,25.2,837,813,-2.9,6822,6472,-5.1,20613,18887,-8.4,1249,1317,5.4,1326,1485,12,936,904,-3.4,5,8,60,59915,61736,3
5,State,Haryana,231,288,24.7,194,192,-1,21,37,76.2,48,71,47.9,2453,2782,13.4,3954,4477,13.2,112,187,67,431,378,-12.3,251,250,-0.4,1,1,0,13039,15505,18.9
6,State,Himachal Pradesh,63,48,-23.8,91,111,22,6,1,-83.3,44,35,-20.5,621,630,1.4,790,798,1,207,219,5.8,89,106,19.1,158,81,48.7,2,NA,-100,4553,4581,0.6
7,State,Jammu & Kashmir,99,83,-16.2,377,411,9,12,20,66.7,32,33,3.1,2393,1746,-27,2532,2083,-17.7,1792,1444,-19.4,128,150,17.2,176,147,-16.5,NA,NA,NA,14529,12443,-14.4
8,State,Karnataka ,816,784,-3.9,260,292,12.3,164,227,38.4,565,872,54.3,11162,10797,-3.3,21497,23233,8.1,3806,5147,35.2,1045,1144,9.5,1528,1542,0.9,120,67,-44.2,69315,80136,15.6
9,State,Kerala,461,481,4.3,94,97,3.2,20,32,60,125,128,2.4,4354,4200,-3.5,4093,4204,2.7,5006,5926,18.4,443,328,-26,407,493,21.1,59,62,5.1,41262,48618,17.8
10,State,Madhya Pradesh,1923,2193,14,960,1100,14.6,401,523,30.4,2019,2279,12.9,28414,27707,-2.5,48921,52707,7.7,4093,5754,40.6,1406,1467,4.3,1849,1691,-8.5,32,37,15.6,148125,164469,11
