SL. No.,Heads of Crime,Incidence - 1968,Volume - 1968,Incidence - 1973,Volume - 1973,Incidence - 1974,Volume - 1974,Incidence - 1975,Volume - 1975,Incidence - 1976,Volume - 1976,Incidence - 1977,Volume - 1977,Quinquennial Average 1973 -1977 (Q.A.),Incidence - 1978,Volume - 1978,"Percentage Change in 1978 (+) Increase, (-) Decrease - Over - 1968","Percentage Change in 1978 (+) Increase, (-) Decrease - Over - Quinquennial Average","Percentage Change in 1978 (+) Increase, (-) Decrease - Over - 1977"
1,Total Cognizable Crime,862016,164.7,1077181,187,1192277,202.7,1160520,193.2,1093897,178.4,1267004,202.5,1158176,1344968,210.7,56,16.1,6.2
2,Murder ,13841,2.6,17072,3,18649,3.2,17563,2.9,16673,2.7,18376,2.9,17667,19314,3,39.5,9.3,5.1
3,Kidnapping & Abduction,8847,1.7,10223,1.8,10543,1.8,11139,1.9,11250,1.8,12240,2,11079,13616,2.1,53.9,23,11.2
4,Dacoity,6357,1.2,10627,1.8,13697,2.3,12506,2.1,10910,1.8,12599,2,12068,13195,2.1,107.6,9.3,4.7
5,Robbery,10194,1.9,18857,3.3,22286,3.8,21656,3.6,17974,2.9,22725,3.6,20700,22923,3.6,124.9,10.7,0.9
6,Burglary,156248,29.8,181433,31.5,199878,34,192854,32.1,168655,27.5,193622,30.9,187288,183991,28.8,17.8,-1.8,-5
7,Thefts,315513,60.2,379412,65.9,436918,74.3,421891,70.2,365138,59.5,432046,69,407081,437187,68.5,38.6,7.4,1.2
8,Riots,45811,8.7,73388,12.7,80547,13.7,67241,11.2,63675,10.4,80449,12.9,73060,96488,15.1,110.6,32.1,19.9
9,Criminal Breach of Trust,22410,4.2,21837,3.8,22274,3.8,23287,3.9,23656,3.9,22868,3.7,22784,23255,3.6,3.8,2.1,1.7
10,Cheating ,12514,2.4,14392,2.5,15380,2.6,17772,3,19588,3.2,19623,3.1,17351,19821,3.1,58.4,14.2,1
11,Counterfeiting,1425,0.3,582,0.1,718,0.1,951,0.2,887,0.1,784,0.1,784,636,0.1,-55.4,-18.9,-18.9
12,Other IPC Offences,268856,51.3,349358,60.7,371387,63.1,373660,62.2,395491,64.5,451672,72.2,388314,514542,80.6,91.4,32.5,13.9
