SL. No. ,Heads of Crime,Total Number of Cases for Investigation During the Year Including Cases Carried over from Previous Year,Number of Cases in which Investigation was Refused or Declared False or Mistake of Facts or Law or Found Non Cognizable,Number of Cases Investigated during the Year,Number of Cases Pending Investigation at the End of the Year,Number of Cases in which Chargesheets were Laid
1,Arms Act,65076,762,56439,7875,54408
2,Opium Act,17356,52,13192,4112,12987
3,Gambling Act ,244860,1054,233684,10122,233259
4,Excise Act,125073,327,101719,23027,100391
5,Prohibition Act,971416,18176,612698,340542,557201
6,Explosives Act & Explosive Substances Act,2601,98,1593,910,1312
7,Suppression of Immoral Traffic Act,16388,10,15848,530,15792
8,Motor Vehicles Act,732526,2183,701649,28694,696744
9,Prevention of Corruption Act,1624,32,1232,360,1189
10,Customs Act,256,39,189,28,179
11,Indian Railways Act,25608,209,24528,871,23507
12,Other Offences,955957,12576,919096,24285,912058
13,Total,3758741,35518,2681867,441356,2609027
