SL. No.,States/U.Ts,Cities,Murder,Culpable Homicide Not Amounting to Murder,Rape,Kidnapping & Abduction,Dacoity,Robbery,Burglary,Thefts,Riots,Criminal Breach of Trust,Cheating ,Counterfeiting,Total Cognizable Crimes Under IPC
1,Andhra Pradesh,Vijayawada Town,12,NA,1,8,4,6,172,580,24,18,34,2,2986
2,Andhra Pradesh,Guntur,9,NA,1,8,NA,6,136,394,7,16,22,1,1178
3,Andhra Pradesh,Visakhapatnam Town,11,NA,2,7,4,2,131,679,138,25,21,1,1240
4,Andhra Pradesh,WarangalTown,3,NA,1,2,NA,7,97,208,30,3,8,NA,421
5,Andhra Pradesh,Rajahmundry Town (East Godavari),4,NA,1,3,NA,3,140,298,29,9,7,5,652
6,Andhra Pradesh,Kakinada Town,8,NA,NA,3,NA,1,55,277,13,11,17,NA,636
7,Andhra Pradesh,Eluru (West Godavari),1,NA,NA,1,NA,NA,14,39,2,1,5,2,163
8,Andhra Pradesh,Nellore,5,NA,1,2,NA,3,105,357,20,18,19,NA,724
9,Andhra Pradesh,Bandar (Machlipatnam),4,NA,NA,2,NA,NA,40,72,12,2,3,NA,433
10,Andhra Pradesh,Kurnool Town,3,NA,NA,2,1,3,30,59,1,3,4,NA,161
11,Andhra Pradesh,Tenali,1,NA,1,1,NA,NA,2,5,NA,1,NA,NA,120
12,Andhra Pradesh,Nizamabad,NA,NA,NA,NA,NA,NA,21,65,3,1,1,NA,117
1,Assam,Gauhati,12,NA,7,NA,4,16,515,1060,192,59,67,NA,2081
1,Bihar,Patna,42,NA,NA,NA,21,56,521,2270,NA,NA,NA,NA,5955
2,Bihar,Muzaffarpur,5,NA,NA,6,3,10,160,357,132,16,4,NA,693
3,Bihar,Biharsharif,6,3,NA,NA,4,12,143,219,37,9,9,NA,442
4,Bihar,Monghyr,3,NA,1,8,5,4,139,170,37,12,8,NA,738
5,Bihar,Bhagalpur,13,NA,NA,NA,6,15,89,17,46,NA,NA,NA,486
