SL. No.,Category,States/U.Ts/Cities,Year - 1977,Year - 1978,Percentage Variations in 1978 Over 1977
1,State,Andhra Pradesh ,91475,106943,16.9
2,State,Assam,47497,46357,-2.4
3,State,Bihar,144869,184167,27.1
4,State,Gujarat,79154,83550,5.6
5,State,Haryana,16303,20556,26.1
6,State,Himachal Pradesh,6681,6666,-0.2
7,State,Jammu & Kashmir,23085,20136,-12.8
8,State,Karnataka ,81831,103716,26.7
9,State,Kerala,63618,80155,26
10,State,Madhya Pradesh,170082,209940,23.4
11,State,Maharashtra,158806,191063,20.3
12,State,Manipur,4050,3606,-11
13,State,Meghalaya,2190,2723,24.3
14,State,Nagaland,724,1026,41.7
15,State,Orissa,50143,58140,15.9
16,State,Punjab,21356,19249,-9.9
17,State,Rajasthan,84904,98244,15.7
18,State,Sikkim ,129,235,82.2
19,State,Tamil Nadu,99571,137858,38.5
20,State,Tripura,5158,7168,39
21,State,Uttar Pradesh,226645,257414,13.6
22,State,West Bengal ,134274,140382,4.5
Total (States),State,Total (States),1512545,1779294,17.6
23,UT,A & N Islands,648,589,-9.1
24,UT,Arunachal Pradesh,397,415,4.5
25,UT,Chandigarh,2149,3462,61.1
26,UT,D & N Haveli,501,289,-42.3
27,UT,Delhi,16423,34238,108.5
28,UT,"Goa, Daman & Diu",1883,3387,79.9
29,UT,Lakshadweep,19,17,-10.5
30,UT,Mizoram,792,850,7.3
31,UT,Pondicherry,3158,3399,7.6
Total (UTs),UT,Total (UTs),25970,46646,79.6
Total (All-India),Total (All-India),Total (All-India),1538515,1825940,18.7
1,City,Ahmedabad ,5037,9848,95.5
2,City,Bangalore ,8224,10778,31.1
3,City,Bombay,28447,30470,7.1
4,City,Calcutta,17811,19519,9.6
5,City,Delhi,15704,31739,102.1
6,City,Hyderabad,4154,5734,38
7,City,Kanpur,3154,9297,194.8
8,City,Madras,9607,10003,4.1
Total (Cities),City,Total (Cities),92138,127388,38.3
