SL. No.,Crime Heads,Total number of persons under trial during the year including persons carried over from previous year,Number of persons against whom cases were compounded or withdrawn,Persons in whose cases trial were completed,Persons in custody or on bail at the end of the year,Number of Persons convicted during the year,Percentage of persons in custody pending trial to number of persons under trials,Percentage of persons convicted to total persons in whose cases trials were completed during the year
1,Murder ,121546,955,35205,85386,13939,70.2,39.6
2,Culpable Homicide Not Amounting to Murder,17236,203,4354,12679,1858,73.6,42.7
3,Rape,13868,128,4206,9534,1550,68.7,36.9
4,Kidnapping & Abduction,45777,706,10676,34395,3742,75.1,35
5,Dacoity,142895,818,29554,112523,10025,78.7,33.9
6,Robbery,70692,770,16171,53751,6840,76,42.3
7,Burglary,312956,9459,81244,222253,42588,71,52.4
8,Thefts,628351,27732,157990,442629,87016,70.4,55.1
9,Riots,1481849,99228,264693,1117928,82107,75.4,31
10,Criminal Breach of Trust,58752,1329,11605,45818,5632,78,48.5
11,Cheating ,44692,1622,9097,33973,4366,76,48
12,Counterfeiting,883,68,284,531,89,60.1,31.3
13,Total Cognizable Crime,4550959,281943,1043681,3225335,486576,70.9,46.6
