SL. No.,Crime Heads,Percentage of New Offenders Arrested to Total Arrested,Percentage of Offenders Who have been Arrested in the Past to Total Arrested - Once,Percentage of Offenders Who have been Arrested in the Past to Total Arrested - Twice,Percentage of Offenders Who have been Arrested in the Past to Total Arrested - Three times or more
1,Murder ,94.1,3.9,1.3,0.7
2,Culpable Homicide Not Amounting to Murder,94.7,3.7,1,0.6
3,Rape,97.4,2.3,0.3,0
4,Kidnapping & Abduction,94,3.8,1.5,0.7
5,Dacoity,84.7,7.9,5.8,1.6
6,Robbery,87.5,7.8,3.2,1.5
7,Burglary,84.4,10,3.6,2
8,Thefts,85.2,9.7,3.3,1.8
9,Riots,96.7,2.5,0.6,0.2
10,Criminal Breach of Trust,93.9,4.7,1.1,0.3
11,Cheating ,92.9,4.6,1.6,0.9
12,Counterfeiting,91.6,7,1.4,NA
13,Total,90.7,6.8,1.7,0.8
