SL. No.,Heads of Crime,Percentage of Cases Compounded or withdrawn to Total Cases During the Year,Percentage of Cases in which Trials were Completed to Total Cases Under Trial During the Year,Percentage of Cases Pending Trial at the End of the Year to Total Cases for Trial,Percentage of Cases Conviction to Cases in which Trials were Completed
1,Arms Act,0.3,31.1,68.6,73.3
2,Opium Act,0.2,39.9,59.9,76.5
3,Gambling Act ,0.2,67.4,32.4,91.1
4,Excise Act,0.4,40.7,58.9,80.1
5,Prohibition Act,0.5,45,54.5,92.5
6,Explosives & Explosive Substances Act,1.1,39,59.9,72
7,Suppression of Immoral Traffic Act,1.4,58.7,40,76.7
8,Motor Vehicles Act,1,73.2,25.8,96.1
9,Prevention of Corruption Act,0.5,70.6,28.9,94.7
10,Customs Act,0.5,43.7,55.8,83.8
11,Indian Railways Act,0.2,83.5,16.3,98.1
12,Other Offences,1.2,83.5,15.4,95.3
13,Total,0.8,67.8,31.4,90.1
