SL. No.,Category,State/U.Ts./Cities,1973,1974,1975,1976,1977,Quinquennial Average of 1973 to 1977 (Q.A.),1978,"Percentage Variation in 1978 (+) Increase, (-) Decrease - Over - Quinquennial Average","Percentage Variation in 1978 (+) Increase, (-) Decrease - Over - 1977",Volume of Crime in 1978 Per One Lakh of Population 
1,State,Andhra Pradesh ,51268,55601,57105,61170,66852,58399,68092,16.6,1.9,138.2
2,State,Assam,32007,36238,36077,32896,36050,34654,37140,7.2,3,201.7
3,State,Bihar,92068,101100,99135,94782,96897,96796,100121,3.4,3.3,154.1
4,State,Gujarat,45421,55829,54872,55895,59915,54386,61736,13.5,3,197.3
5,State,Haryana,9388,10194,9596,9146,13039,10272,15505,50.9,18.9,131.7
6,State,Himachal Pradesh,3342,3783,3450,3780,4553,3782,4581,21.1,0.6,114
7,State,Jammu & Kashmir,6622,8693,10419,12319,14529,10516,12443,18.3,-14.4,222.2
8,State,Karnataka ,44401,49023,49491,50640,69315,52574,80136,52.4,15.6,236.5
9,State,Kerala,41848,43124,36022,31868,41262,38825,48618,25.2,17.8,196.1
10,State,Madhya Pradesh,110811,127302,127211,122299,148125,127150,164469,29.4,11,327.9
11,State,Maharashtra,128992,144432,141980,133440,145086,138786,150626,8.5,3.8,259.3
12,State,Manipur,2201,2820,3102,2984,3258,2873,3363,17.1,3.2,249.1
13,State,Meghalaya,1322,1566,1619,1604,1705,1563,1894,21.2,11.1,154
14,State,Nagaland,918,1088,910,824,844,917,957,4.4,13.4,145
15,State,Orissa,31252,32207,34511,33400,35416,33357,39589,18.7,11.8,154.2
16,State,Punjab,12511,12878,12360,11775,13994,12704,12831,1,-8.3,83.6
17,State,Rajasthan,44229,51102,50984,50842,62244,51880,63752,22.9,2.4,203.6
18,State,Sikkim ,NA,NA,336,230,193,152,217,42.8,12.4,90.4
19,State,Tamil Nadu,72443,79862,74909,69806,90396,77483,107973,39.4,19.4,236.2
20,State,Tripura,3009,2373,2026,3010,3820,2848,5355,88,40.2,274
21,State,Uttar Pradesh,220567,244284,230901,195633,222621,222801,217277,-2.5,-2.4,215.5
22,State,West Bengal ,82312,86600,86514,84879,91450,86351,93596,8.4,2.3,177
Total (States),State,Total (States),1036932,1150099,1123530,1063222,1221564,1119069,1290271,15.3,5.6,205
23,UT,A & N Islands,484,538,541,517,592,534,701,31.3,18.4,412.4
24,UT,Arunachal Pradesh,NA,188,318,399,476,276,443,60.5,-6.9,75.1
25,UT,Chandigarh,1334,1411,1202,1312,2495,1551,2609,68.2,4.6,606.7
26,UT,D & N Haveli,84,131,153,146,109,125,220,76,101.8,275
27,UT,Delhi,34174,33824,28571,23105,35856,31106,43407,39.5,21.1,782.1
28,UT,"Goa, Daman & Diu",1595,2112,2444,2150,1890,2038,2181,7,15.4,203.8
29,UT,Lakshadweep,9,10,27,14,15,15,20,33.3,33.3,66.7
30,UT,Mizoram,NA,501,362,647,737,449,771,71.7,4.6,183.6
31,UT,Pondicherry,2569,3463,3372,2385,3270,3012,4345,44.3,32.9,775.9
Total (UTs),UT,Total (UTs),40249,42178,36990,30675,45440,39106,54697,39.9,20.4,614.6
Total (All-India),Total (All-India),Total (All-India),1077181,1192277,1160520,1093897,1267004,1158175,1344968,16.1,6.2,210.7
1,City,Ahmedabad ,4730,6588,5625,6231,7323,6099,8035,31.7,9.7,397.8
2,City,Bangalore ,9356,10688,10182,11002,20751,12396,26063,110.3,25.6,1350.4
3,City,Bombay,31920,33992,33374,31376,36866,33506,36160,7.9,-1.9,459.5
4,City,Calcutta,11555,11874,11829,12321,12577,12031,13039,8.4,3.7,392.7
5,City,Delhi,32722,32307,27196,21464,33865,29511,41061,39.1,21.2,806.7
6,City,Hyderabad,4855,4999,5025,5174,5955,5202,7772,49.4,30.5,366.6
7,City,Kanpur,10003,9003,8669,8399,7752,8765,11395,30,47,808.2
8,City,Madras,14204,17257,17630,14940,18247,16455,19089,16,4.6,589.2
Total (Cities),City,Total (Cities),119345,126708,119530,110907,143336,123965,162614,31.2,13.4,602.3
