SL. No.,Heads of Crime,"Percentage of Cases not Investigated, Mistake of Fact or Law, Non Cognizable to Total Cases for Investigation",Percentage of Cases in which Investigation was Completed to Total Cases for Investigation,Percentage of Cases Pending Investigation at the End of the Year to Total Cases Investigation,Percentage of Cases Chargesheeted to Total Cases in which Investigation was Completed
1,Murder ,3.2,70.5,26.3,78.3
2,Culpable Homicide Not Amounting to Murder,4.4,65.9,29.7,76.2
3,Rape,7.6,66.6,25.8,84.2
4,Kidnapping & Abduction,22.1,51.8,26.1,65.6
5,Dacoity,6.7,60.7,32.6,62.1
6,Robbery,15.1,64.4,20.5,51.2
7,Burglary,4.8,80.1,15.1,32.1
8,Thefts,6.4,79.1,14.5,32.4
9,Riots,16,60.3,23.7,81.9
10,Criminal Breach of Trust,13.6,43.9,42.5,62.3
11,Cheating ,11.1,52.6,36.3,55.2
12,Counterfeiting,9.9,46.1,44,27.9
13,Other IPC Offences,9.6,74.9,15.5,82.8
14,Total Cognizable Crimes Under IPC,8.6,73.9,17.5,56.6
