SL. No. (Col. 1),Crime Head (Col. 2),Percentage of Cases to Total Cases for Investigation in which - Investigation was Refused (Col. 3),Percentage of Cases to Total Cases for Investigation in which - Investigation was Completed - Charge Found False/ Mistake of Law etc. (Col. 4),Percentage of Cases to Total Cases for Investigation in which - Investigation was Completed - Final Report True Submitted (Col. 5),Percentage of Cases to Total Cases for Investigation in which - Investigation was Completed - Chargesheets Were Laid (Col. 6),Percentage of Cases to Total Cases for Investigation in which - Investigation was Completed - Total (Col. 4+5+6) (Col. 7),Percentage of Cases Pending Investigation (Col. 8)
1,Arms Act,0,0.4,2,85.5,87.9,12.1
2,Narcotic Drugs & Psychotropic Substances Act,0.3,0.4,2.1,59.8,62.3,37.4
3,Gambling Act,0,0,0.1,94.4,96.4,3.5
4,Excise Act,1.6,0.2,0.9,84.6,85.7,12.6
5,Prohibition Act,0.8,0.2,2.7,77.8,80.6,18.6
6,Explosive & Explosive Substances Act,0.3,1.7,15.2,43.3,60.2,39.5
7,Immoral Traffic (P) Act,0,0,10.7,84.6,95.3,4.7
8,Indian Railways Act,2.9,0.7,5.6,86.1,92.4,4.7
9,Registration of Foreigners Act,0.1,0.5,1,89.5,91,8.9
10,Protection Of Civil Rights Act,0.8,9.4,2.9,67.3,79.6,19.6
11,Indian Passport Act,0.4,2.4,3.6,57,62.9,36.6
12,Essential Commodities Act,0.1,2.8,9,51.7,63.5,36.4
13,Terrorist & Disruptive Activites Act,0.1,0.4,30.1,10.5,41,58.9
14,Antiquity & Art Treasure Act,0,11.8,17.6,41.2,70.6,29.4
15,Dowry Prohibition Act,0.4,7.7,7.3,54.6,69.6,30
16,Other L & SL Crimes,0.2,0.6,0.4,95.9,97,2.9
17,Total Cognizable Crimes Under L & SL,0.3,0.5,1.1,91.1,92.7,6.9
