SL. No. (Col. 1),Crime Head (Col. 2),Percentage of Cases to Total Cases for Investigation in which - Investigation was Refused (Col. 3),Percentage of Cases to Total Cases for Investigation in which - Investigation was Completed - Charge Found False/ Mistake of Law etc. (Col. 4),Percentage of Cases to Total Cases for Investigation in which - Investigation was Completed - Final Report True Submitted (Col. 5),Percentage of Cases to Total Cases for Investigation in which - Investigation was Completed - Chargesheets were Laid (Col. 6),Percentage of Cases to Total Cases for Investigation in which - Investigation was Completed - Total (Col. 4+5+6) (Col. 7),Percentage of Cases Pending Investigation (Col. 8)
1,Murder,0.2,2,14.9,46.4,63.2,36.6
2,Attempt to Commit Murder,0.2,3.8,13.4,57.3,74.5,25.4
3,C.H. Not Amounting to Murder,0.1,2.1,11,51,64.1,35.8
4,Rape,0.1,6,4.3,59,69.3,30.6
5,Kidnapping & Abduction,0.3,15.9,15.3,36.7,67.9,31.8
5,I) Of Women & Girls,0.2,18,15.2,34.9,68.1,31.7
5,II) Of Others,0.4,9.9,15.6,41.9,67.4,32.2
6,Dacoity,0.3,7.4,17.9,25.9,51.1,48.6
7,Preparation & Assembly for Dacoity,0,0.8,8.1,55.3,64.2,35.8
8,Robbery,0.2,8.5,28,35.1,71.6,28.2
9,Burglary,0.3,3.7,46.7,28.8,79.2,20.5
10,Theft,0.5,4.1,44.8,31.5,80.4,19.1
11,Riots,0.6,9.8,9.2,55.6,74.6,24.8
12,Criminal Breach of Trust,0.8,9.1,14.8,34.4,58.3,40.9
13,Cheating,1.2,12.4,15.8,31.7,59.9,38.9
14,Counterfeiting,25.4,10.4,17.9,6.2,34.6,40.1
15,Other IPC Crimes,0.4,5.7,9.9,68.4,83.9,15.7
16,Total Cognizable Crimes Under IPC,0.5,5.7,21.2,52.6,79.5,20
