SL. No. (Col. 1),Crime Head (Col. 2),Percentage of Cases to Total Cases for Trial - Compounded or Withdrawn (Col. 3),Percentage of Cases to Total Cases for Trial - in which Trials were Completed - Convicted (Col. 4),Percentage of Cases to Total Cases for Trial - in which Trials were Completed - Acquitted or Discharged (Col. 5),Percentage of Cases to Total Cases for Trial - in which Trials were Completed - Total (Col. 4+5) (Col. 6),Percentage of Cases to Total Cases for Trial - Pending Trial (Col. 7)
1,Murder,0.6,6.6,9.8,16.5,82.9
2,Attempt to Commit Murder,1,7,10.2,17.2,81.8
3,C.H. Not Amounting to Murder,0.7,8.6,10.5,19.1,80.3
4,Rape,0.8,6.1,11.7,17.8,81.4
5,Kidnapping & Abduction,1.9,5.9,11.1,16.9,81.1
5,I) Of Women & Girls,2,5.1,10.9,16,82
5,II) Of Others,1.8,9.2,11.9,21.1,77.1
6,Dacoity,0.8,5.2,9.3,14.5,84.7
7,Preparation & Assembly for Dacoity,0.2,7.2,12.6,19.8,80
8,Robbery,0.8,5.3,9.1,14.4,84.9
9,Burglary,1.2,8.8,9.3,18.1,80.7
10,Theft,1.4,9.8,8.6,18.4,80.3
11,Riots,3.9,4.2,9.3,13.5,82.6
12,Criminal Breach of Trust,1.3,4.2,7.3,11.5,87.3
13,Cheating,1.5,4.7,7.1,11.8,86.6
14,Counterfeiting,1.2,5.4,9.7,15.1,83.7
15,Other IPC Crimes,3.8,8.6,8.6,17.2,79
16,Total Cognizable Crimes Under IPC,3,8.1,8.8,16.8,80.2
