SL. No.,Category,State/UT/City,Arms Act,Narcotic Drugs & Psychotropic Substances Act,Gambling Act,Excise Act,Prohibition Act,Explosive & Explosive Substances Act,Immoral Traffic (P) Act,Indian Railways Act,Registration of Foreigners Act,Protection Of Civil Rights Act,Indian Passport Act,Essential Commodities Act,Terrorist & Disruptive Actvites Act,Antiquity & Art Treasure Act,Dowry Prohibition Act,Other LSL Crimes,Total Cognizable Crimes Under LSL
1,State,Andhra Pradesh,0,0,94,0,0,5,51,0,0,2,0,0,0,0,0,646,798
2,State,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,State,Assam,0,0,6,0,3,0,1,0,0,0,0,0,4,0,0,119,133
4,State,Bihar,25,0,13,12,0,0,0,0,0,0,0,1,0,0,0,11,62
5,State,Goa,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4
6,State,Gujarat,0,0,55,0,500,0,0,3,0,5,0,0,0,0,1,326,890
7,State,Haryana,53,11,115,236,0,0,0,0,0,0,0,0,0,0,0,20,435
8,State,Himachal Pradesh,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,10
9,State,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,State,Karnataka,0,1,3,3,0,0,9,0,0,2,0,0,0,0,1,44,63
11,State,Kerala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,State,Madhya Pradesh,49,0,157,81,0,5,0,2,0,1,0,0,0,0,11,174,481
13,State,Maharashtra,25,1,736,0,1766,3,2,2,0,3,0,1,0,0,0,2389,4927
14,State,Manipur,0,4,1,19,0,0,0,0,0,0,0,0,0,0,0,1,25
15,State,Meghalaya,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,4
16,State,Mizoram,0,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,11
17,State,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,State,Orissa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,119
19,State,Punjab,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5
20,State,Rajasthan,1,5,9,6,0,0,1,0,0,2,0,0,0,0,0,24,48
21,State,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,State,Tamil Nadu,0,2,261,0,572,0,219,0,0,0,0,0,0,0,0,12999,14053
23,State,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,State,Uttar Pradesh,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5
25,State,West Bengal,0,0,0,0,0,0,0,9,11,0,0,1,0,0,0,0,21
Total (States),State,Total (States),156,30,1462,366,2841,13,283,16,16,15,0,3,4,0,13,16876,22094
26,UT,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,UT,Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,UT,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,UT,Daman & Diu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,UT,Delhi,13,13,15,3,0,0,0,0,0,0,0,1,0,0,0,0,45
31,UT,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,UT,Pondicherry,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4
Total (UTs),UT,Total (UTs),13,13,15,3,0,0,0,0,4,15,0,1,0,0,0,0,49
Total (All-India),Total (All-India),Total (All-India),169,43,1477,369,2841,13,283,16,20,0,0,4,4,0,13,16876,22143
33,City,Ahmedabad,0,0,9,0,41,0,0,0,0,0,0,0,0,0,0,21,71
34,City,Bangalore,0,1,0,0,0,0,9,0,0,0,0,0,0,0,1,2,13
35,City,Bombay,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1963,1970
36,City,Calcutta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,City,Delhi,13,13,15,3,0,0,0,0,0,0,0,1,0,0,0,0,45
38,City,Hyderabad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8
39,City,Jaipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
40,City,Kanpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,City,Lucknow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,City,Madras,0,0,27,0,11,0,4,0,0,0,0,0,0,0,0,94,136
43,City,Nagpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14
44,City,Pune,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
