SL. No.,Category,State/UT/City,1986,1987,1988,1989,1990,Quinquennial Avg. 1991-1990 (Q.A.),1991,Percentage in 1991 (+) Increase/ (-) Decrease Over - Quinquennial Avg. (Q.A.),Percentage in 1991 (+) Increase/ (-) Decrease Over - 1990
1,State,Andhra Pradesh,81322,94279,86099,98112,104299,92822,101676,9.5,-2.5
2,State,Arunachal Pradesh,1280,1355,1764,2002,2187,1718,1861,8.3,-14.9
3,State,Assam,38108,37244,37684,39499,37503,38008,35144,-7.5,-6.3
4,State,Bihar,105901,107245,113640,114305,124414,113101,119932,6,-3.6
5,State,Goa,4514,4551,3969,4225,3738,4199,3805,-9.4,1.8
6,State,Gujarat,83001,84714,87732,95194,107262,91581,124472,35.9,16
7,State,Haryana,21797,22918,25542,28332,28713,25460,28584,12.3,-0.4
8,State,Himachal Pradesh,5955,6479,6521,7168,8316,6888,9209,33.7,10.7
9,State,Jammu & Kashmir,19855,19158,19868,21442,15047,19074,15545,-18.5,3.3
10,State,Karnataka,81540,79456,86998,92440,100740,88235,104489,18.4,3.7
11,State,Kerala,53911,56806,64086,67051,68698,62110,74103,19.3,7.9
12,State,Madhya Pradesh,170673,181103,180630,195183,209556,187429,218431,16.5,4.2
13,State,Maharashtra,182026,184596,183357,189055,185652,184937,192295,4,3.6
14,State,Manipur,2604,1841,2379,2445,2260,2306,2100,-8.9,-7.1
15,State,Meghalaya,1594,2440,1735,1751,1716,1847,1726,-6.6,0.6
16,State,Mizoram,1006,1157,1267,1638,1612,1336,1781,33.3,10.5
17,State,Nagaland,1559,1624,1408,1591,1827,1602,1641,2.4,-10.2
18,State,Orissa,45103,42603,41068,44321,47947,44208,52081,17.8,8.6
19,State,Punjab,13224,15017,14275,14166,16131,14563,16081,10.4,-0.3
20,State,Rajasthan,81118,79851,88146,99617,103228,90392,113617,25.7,10.1
21,State,Sikkim,373,354,333,380,373,363,469,29.3,25.7
22,State,Tamil Nadu,116276,114470,128725,126075,128529,122815,133284,8.5,3.7
23,State,Tripura,4714,4631,5520,5363,5652,5176,5594,8.1,-1
24,State,Uttar Pradesh,184818,168791,160253,172880,193985,176145,208561,18.4,7.5
25,State,West Bengal,68526,62947,63380,68409,66644,65981,69073,4.7,3.6
Total (States),State,Total (States),1370798,1375630,1406379,1566029,1566029,1442296,1635554,13.4,4.4
26,UT,A & N Islands,719,741,897,1144,919,884,551,-37.7,-40
27,UT,Chandigarh,1510,1621,1734,1705,1784,1671,1629,-2.5,-8.7
28,UT,D & N Haveli,464,541,551,352,480,478,437,-8.5,-9
29,UT,Daman & Diu,136,116,120,147,204,145,257,77.7,26
30,UT,Delhi,29828,25846,28013,30523,31848,29212,34876,19.4,9.5
31,UT,Lakshadweep,20,31,30,91,30,40,54,33.7,80
32,UT,Pondicherry,2360,2466,2632,3238,3155,2770,5017,81.1,59
Total (UTs),UT,Total (UTs),35037,31362,33977,37200,38420,35199,42821,21.7,11.5
Total (All -India),Total (All -India),Total (All -India),1405835,1406992,1440356,1529844,1604449,1477495,1678375,13.6,4.6
33,City,Ahmedabad,10505,11037,12294,13364,14847,12409,18017,45.2,21.4
34,City,Bangalore,16592,21817,21998,23107,23033,21309,25311,18.8,9.9
35,City,Bombay,36643,36018,35802,37309,38302,36815,39897,8.4,4.2
36,City,Calcutta,14013,13219,13652,13738,12975,13519,13803,2.1,6.4
37,City,Delhi,27813,23837,25530,28467,29510,27031,32462,20.1,10
38,City,Hyderabad,7481,7498,7469,8063,8767,7856,10736,36.7,22.5
39,City,Jaipur,4988,5667,6860,6269,6901,6137,8241,34.3,19.4
40,City,Kanpur,7632,7231,5925,5526,5769,6417,7712,20.2,33.7
41,City,Lucknow,4814,3418,4642,5336,7461,5134,6794,32.3,-8.9
42,City,Madras,13466,13827,13947,14168,12372,13556,12633,-6.8,2.1
43,City,Nagpur,8832,8783,8249,9368,9598,8966,9987,11.4,4.1
44,City,Pune,9422,9163,10051,10380,10292,9862,11411,15.7,10.9
