SL. No.,Crime Head,1990,1991,Percentage Variation in 1991 Over 1990,Percentage Share of Crime During 1991
1,Arms Act,61852,65669,6.2,1.7
2,Narcotic Drugs & Psychotropic Substances Act,15596,21198,35.9,0.5
3,Gambling Act,369530,368920,-0.2,9.4
4,Excise Act,102836,106775,3.8,2.7
5,Prohibition Act,602839,547363,-9.2,14
6,Explosive & Explosive Substances Act,5624,6442,14.5,0.2
7,Immoral Traffic (Prevention) Act,19734,15077,-23.6,0.4
8,Indian Railways Act,38867,35007,-9.9,0.9
9,Foreigner's Registration Act,4162,4197,0.8,0.1
10,Protection Of Civil Rights Act,7561,9625,27.3,0.2
11,Indian Passport Act,944,1562,65.5,0
12,Essential Commodities Act,8455,10528,24.5,0.3
13,Terrorist & Disruptive Activites Act,2508,5166,106,0.1
14,Antiquity & Art Treasure Act,34,59,73.5,0
15,Dowry Prohibition Act,4602,4589,-0.3,0.1
16,Other L & SL Crimes,2440912,2703865,10.8,69.2
17,Total Cognizable Crimes Under L & SL,3686056,3906042,6,100
