SL. No.,Crime Head,Incidence - 1981,Volume - 1981,Incidence - 1986,Volume - 1986,Incidence - 1987,Volume - 1987,Incidence - 1988,Volume - 1988,Incidence - 1989,Volume - 1989,Incidence - 1990,Volume - 1990,Incidence - quinquennial Avg. 1986-1990 (Q.A.),Volume - quinquennial Avg. 1986-1990 (Q.A.),Incidence - 1991,Volume - 1991,Percentage Change in 1991 ((+) Increase/(-) Decrease) Over - 1981,Percentage Change in 1991 ((+) Increase/(-) Decrease) Over - Q.A.,Percentage Change in 1991 ((+) Increase/(-) Decrease) Over - 1990
1,Murder,22727,3.3,27269,3.6,28513,3.6,28771,3.6,31222,3.8,35045,4.2,30164,3.8,39174,4.6,72.4,29.9,11.8
2,Attempt to Commit Murder,*,NA,*,NA,*,NA,20689,2.6,23748,2.9,27095,3.3,*,NA,29778,3.5,NA,NA,9.9
3,C.H. Not Amounting to Murder,3272,0.5,4195,0.5,3721,0.5,3755,0.5,4100,0.5,4281,0.5,4010,0.5,4243,0.5,29.7,5.8,-0.9
4,Rape,5409,0.8,7952,1,8559,1.1,9099,1.1,9752,1.2,10068,1.2,9086,1.1,10410,1.2,92.5,14.6,3.4
5,Kidnapping & Abduction,13833,2,15667,2,15251,2,15771,2,17318,2.1,18474,2.2,16496,2.1,20079,2.4,45.2,21.7,8.7
5,I) Of Women & Girls,*,NA,*,NA,*,NA,13880,1.7,14169,1.7,14446,1.7,*,NA,14283,1.7,NA,NA,-1.1
5,II) Of Others,*,NA,*,NA,*,NA,1891,0.2,3149,0.4,4028,0.5,*,NA,5796,0.7,NA,NA,43.9
6,Dacoity,14626,2.1,10444,1.4,10036,1.3,9306,1.3,9896,1.2,11089,1.3,10154,1.3,10831,1.3,-25.9,6.7,-2.3
7,Preparation & Assembly for Dacoity,*,NA,*,NA,*,NA,931,0.1,1015,0.1,1286,0.2,*,NA,1393,0.2,NA,NA,8.3
8,Robbery,22996,3.3,22395,2.9,22917,2.9,21611,2.7,22480,2.8,25440,3.1,22969,2.9,26428,3.1,14.9,15.1,3.9
9,Burglary,157540,22.8,128946,16.8,125466,16.1,124304,15.6,129020,15.9,131331,15.9,127813,16,132087,15.5,-16.2,3.3,0.6
10,Theft,422059,61.2,323533,42.2,310575,39.7,319848,40.2,341240,42,353191,42.7,329677,41.4,362928,42.7,-14,10.1,2.8
11,Riots,110361,16,94197,12.3,90789,11.6,94587,11.9,98943,12.2,102846,12.4,96272,12.1,105309,12.4,-4.6,9.4,2.4
12,Criminal Breach of Trust,20579,3,19021,2.5,17847,2.3,17352,2.2,17541,2.2,16552,2,17663,2.2,17495,2.1,-15,-0.9,5.7
13,Cheating,17767,2.6,22579,2.9,22115,2.8,22705,2.9,23691,2.9,24466,3,23111,2.9,27466,3.2,54.6,18.8,12.3
14,Counterfeiting,1004,0.1,1687,0.2,1653,0.2,1537,0.2,2075,0.3,2576,0.3,1906,0.2,4467,0.5,344.9,134.4,73.4
15,Other IPC Crimes,573584,83.1,727950,95,749550,95.9,750090,94.2,797803,98.3,840709,101.7,773220,97.1,886287,104.3,54.5,14.6,5.4
16,Total Cognizable Crimes Under IPC,1385757,200.8,1405835,183.5,1406992,180.1,1440356,180.8,1529844,188.5,1604449,194,1477495,185.5,1678375,197.5,21.1,13.6,4.6
