SL. No. (Col. 1),Crime Head (Col. 2),Percentage of Cases to Total Cases for Trial - Compounded or Withdrawn (Col. 3),Percentage of Cases to Total Cases for Trial - in which Trials were Completed - Convicted (Col. 4),Percentage of Cases to Total Cases for Trial - in which Trials were Completed - Acquitted or Discharged (Col. 5),Percentage of Cases to Total Cases for Trial - in which Trials were Completed - Total (Col. 4+5) (Col. 6),Percentage of Cases to Total Cases for Trial - Pending Trial (Col. 7)
1,Arms Act,0.3,15.8,9,24.8,74.9
2,Narcotic Drugs & Psychotropic Substances Act,0.2,10.4,9,19.4,80.4
3,Gambling Act,1.8,37.2,6.1,43.2,55
4,Excise Act,0.2,25.1,8.2,33.3,66.5
5,Prohibition Act,0.9,19.8,7.7,27.6,71.6
6,Explosive & Explosive Substances Act,0.3,10.6,8.4,19,80.7
7,Immoral Traffic (P) Act,0.8,51.2,8.2,59.3,39.9
8,Indian Railways Act,0.3,68,2.7,70.8,28.9
9,Registration of Foreigners Act,0.1,49.3,25.7,75,24.9
10,Protection Of Civil Rights Act,2.1,4.4,12.5,16.9,81
11,Indian Passport Act,0.2,33.2,19.3,52.5,47.2
12,Essential Commodities Act,0.1,5.8,10.5,16.3,83.5
13,Terrorist & Disruptive Activites Act,0.8,5.7,9.4,15.1,84.2
14,Antiquity & Art Treasure Act,0,0,11.8,11.8,88.2
15,Dowry Prohibition Act,2.6,5.1,9.3,14.4,83
16,Other LSL Crimes,3.4,67.5,5,72.5,24.1
17,Total Cognizable Crimes Under LSL,2.2,47.5,6.2,53.8,44
