SL. No.,Category,State/UT/City,1990,1991,Percentage Variatio in 1991 Over 1990,Percentage Contribution to All-India During 1991
1,State,Andhra Pradesh,172387,155605,-9.7,6.2
2,State,Arunachal Pradesh,2264,2033,-10.2,0.1
3,State,Assam,57114,44421,-22.2,1.8
4,State,Bihar,263308,268442,1.9,10.6
5,State,Goa,4691,4717,0.6,0.2
6,State,Gujarat,146851,162942,11,6.4
7,State,Haryana,40528,43418,7.1,1.7
8,State,Himachal Pradesh,11293,13231,17.2,0.5
9,State,Jammu & Kashmir,18322,20001,9.2,0.8
10,State,Karnataka,151058,144776,-4.2,5.7
11,State,Kerala,109609,119867,9.4,4.7
12,State,Madhya Pradesh,274115,309628,13,12.2
13,State,Maharashtra,248846,258937,4.1,10.2
14,State,Manipur,2284,2587,13.3,0.1
15,State,Meghalaya,2111,2163,2.5,0.1
16,State,Mizoram,1281,1517,18.4,0.1
17,State,Nagaland,1833,1883,2.7,0.1
18,State,Orissa,82690,86424,4.5,3.4
19,State,Punjab,16059,14750,-8.2,0.6
20,State,Rajasthan,151883,156626,3.1,6.2
21,State,Sikkim,468,493,5.3,0
22,State,Tamil Nadu,210139,224467,6.8,8.9
23,State,Tripura,6920,7698,11.2,0.3
24,State,Uttar Pradesh,326642,347630,6.4,13.8
25,State,West Bengal,97023,98722,1.8,3.9
Total (States),State,Total (States),2399719,2492978,3.9,98.6
26,UT,A & N Islands,1125,572,-49.2,0
27,UT,Chandigarh,1825,1323,-27.5,0.1
28,UT,D & N Haveli,632,602,-4.7,0
29,UT,Daman & Diu,339,384,13.3,0
30,UT,Delhi,32568,26785,-17.8,1.1
31,UT,Lakshadweep,1,41,4000,0
32,UT,Pondicherry,4801,5294,10.3,0.2
Total (UTs),UT,Total (UTs),41291,35001,-15.2,1.4
Total (All-India),Total (All-India),Total (All-India),2441010,2527979,3.6,100
33,City,Ahmedabad,17065,16393,-3.9,0.6
34,City,Bangalore,14860,14887,0.2,0.6
35,City,Bombay,33321,32919,-1.2,1.3
36,City,Calcutta,15106,14112,-6.6,0.6
37,City,Delhi,31488,23924,-24,0.9
38,City,Hyderabad,5455,5829,6.9,0.2
39,City,Jaipur,6226,7610,22.2,0.3
40,City,Kanpur,6201,8870,43,0.4
41,City,Lucknow,6082,5849,-3.8,0.2
42,City,Madras,12231,11778,-3.7,0.5
43,City,Nagpur,7482,8309,11.1,0.3
44,City,Pune,13589,14592,7.4,0.6
