SL. No.,Year,7-12 Years,Percentage to Total - 7-12 Years,12-16 Years,Percentage to Total - 12-16 Years,16-18 Years,Percentage to Total - 16-18 Years,18-21 Years,Percentage to Total - 18-21 Years,Overall Age Group
1,1981,9485,5,17649,9.3,33969,17.8,129464,67.9,190567
2,1982,8272,4.9,15218,9,25618,15.2,119229,70.8,168337
3,1983,8290,4.8,16949,9.9,26153,15.2,120222,70.1,171614
4,1984,5846,3.6,12472,7.7,25054,15.4,118888,73.3,162260
5,1985,5991,3.6,11516,6.8,21172,12.6,129820,77,168499
6,1986,5138,3,12163,7.1,23940,14.1,128908,75.8,170149
7,1987,5279,2.9,10387,5.8,22209,12.3,142087,79,179962
8,1988,3446,9,31098,81.5,3624,9.5,NA,NA,38168
9,1989,4812,13.2,21028,57.8,10552,29,NA,NA,36392
10,1990,3681,11.9,23580,76.5,3555,11.5,NA,NA,30816
11,1991,5837,19.7,18887,63.8,4867,16.4,NA,NA,29591
Percentage Change in 1991 Over 1981,Percentage Change in 1991 Over 1981,-38.5,NA,7,NA,NA,NA,NA,NA,-84.5
Percentage Change in 1991 Over 1990,Percentage Change in 1991 Over 1990,58.6,NA,-19.9,NA,36.9,NA,NA,NA,-4
