SL. No. (Col. 1),Crime Head (Col. 2),Total No. of Cases for Trial Including Pending Cases (Col. 3),Number of Cases - Compounded or Withdrawn (Col. 4),Number of Cases - in which Trials were Completed - Convicted (Col. 5),Number of Cases - in which Trials were Completed - Acquitted or Discharged (Col. 6),Number of Cases - in which Trials were Completed - Total (Col. 5+6) (Col. 7),Number of Cases - Pending Trial (Col. 8)
1,Arms Act,214662,690,34001,19237,53238,160734
2,Narcotic Drugs & Psychotropic Substances Act,52764,111,5489,4759,10248,42405
3,Gambling Act,330811,5819,122924,20060,142984,182008
4,Excise Act,271014,644,67986,22220,90206,180164
5,Prohibition Act,1589479,13646,315116,122842,437958,1137875
6,Explosive & Explosive Substances Act,12975,43,1375,1085,2460,10472
7,Immoral Traffic (P) Act,21304,169,10899,1741,12640,8495
8,Indian Railways Act,40630,110,27648,1112,28760,11760
9,Registration of Foreigners Act,3707,3,1829,951,2780,924
10,Protection Of Civil Rights Act,9278,191,411,1157,1568,7519
11,Indian Passport Act,1230,3,408,238,646,581
12,Essential Commodities Act,24660,33,1438,2592,4030,20597
13,Terrorist & Disruptive Activites Act,1155,9,66,108,174,972
14,Antiquity & Art Treasure Act,17,0,0,2,2,15
15,Dowry Prohibition Act,4389,113,224,409,633,3643
16,Other L & SL Crimes,3180367,107967,2147342,159740,2307082,765318
17,Total Cognizable Crimes Under L & SL,5758442,129551,2737156,358253,3095409,2533482
