SL. No.,Crime Head,Male,Female,Total,Percentage to Total - Male,Percentage to Total - Female
1,Murder,81810,2983,84793,96.5,3.5
2,Attempt to Commit Murder,71672,1311,72983,98.2,1.8
3,C.H. Not Amounting to Murder,10133,236,10369,97.7,2.3
4,Rape,14033,183,14216,98.7,1.3
5,Kidnapping & Abduction,27356,1216,28572,95.7,4.3
5,I) Of Women & Girls,17959,976,18935,94.8,5.2
5,II) Of Others,9397,240,9637,97.5,2.5
6,Dacoity,34402,169,34571,99.5,0.5
7,Preparation & Assembly for Dacoity,6410,0,6410,100,0
8,Robbery,33572,218,33790,99.4,0.6
9,Burglary,90832,1300,92132,98.6,1.4
10,Theft,284120,6461,290581,97.8,2.2
11,Riots,530181,22003,552184,96,4
12,Criminal Breach of Trust,15862,329,16191,98,2
13,Cheating,23152,555,23707,97.7,2.3
14,Counterfeiting,1344,24,1368,98.2,1.8
15,Other IPC Crimes,1216928,49184,1266112,96.1,3.9
16,Total Cognizable Crimes Under IPC,2441807,86172,2527979,96.6,3.4
