SI.No.,Category,State/UT/City,Murder - Incidence,Murde - Rate,Attemp to Commit Murder - Incidence,Attempt to Commit Murder - Rate,C.H.Not Amounting To Murder - Incidence,C.H. Not Amounting to Murder - Rate,Rape - Incidence,Rape - Rate,Kidnapping & Abduction Total - Incidence,Kidnapping & Abduction Total - Rate,Kidnapping & Abduction of Women & Girls - Incidence,Kidnapping & Abduction of Women & Girls - Rate,Kidnapping & Abduction of Others - Incidence,Kidnapping & Abduction of Others - Rate,Dacoity - Incidence,Dacoity - Rate,Preparation & Assembly for Dacoity - Incidence,Preparation & Assembly for Dacoity - Rate,Robbery - Incidence,Robbery - Rate,Burglary - Incidence,Burglary - Rate,Theft - Incidence,Theft - Rate,Riots - Incidence,Riots - Rate,Crimnal Breach of trust - Incidence,Crimnal Breach of trust - Rate,Cheating - Incidence,Cheating - Rate,Counterfeiting - Incidence,Counterfeting - Rate,Arson - Incidence,Arson - Rate,Hurt - Incidence,Hurt - Rate,Dowry Deaths - Incidence,Dowry Deaths - Rate,Molestation - Incidence,Molestation - Rate,Sexual Harassment - Incidence,Sexual Harassment - Rate,Cruelty By Husband and Relatives - Incidence,Cruelty By Husband and Relatives - Rate,Other IPC Crimes - Incidence,Other IPC Crimes - Rate,Total Cognizable Crimes Under IPC - Incidence,Total Cognizable Crimes Under IPC - Rate
1,State,Andhra Pradesh,2872,3.9,1324,1.8,121,0.2,947,1.3,1262,1.7,730,1,532,0.7,511,0.7,9,0,872,1.2,6963,9.5,15009,20.5,3657,5,759,1,3453,4.7,139,0.2,1149,1.6,23986,32.7,520,0.7,2899,4,1023,1.4,3870,5.3,43618,59.5,114963,156.7
2,State,Arunachal Pradesh,69,6.3,40,3.7,3,0.3,43,3.9,38,3.5,23,2.1,15,1.4,41,3.8,1,0.1,60,5.5,197,18.1,389,35.7,17,1.6,33,3,22,2,2,0.2,15,1.4,317,29.1,0,0,37,3.4,0,0,1,0.1,551,50.6,1876,172.1
3,State,Assam,1452,5.7,376,1.5,26,0.1,717,2.8,1305,5.2,1113,4.4,192,0.8,798,3.2,22,0.1,1027,4.1,3474,13.7,7373,29.2,3607,14.3,483,1.9,683,2.7,25,0.1,496,2,4443,17.6,22,0.1,686,2.7,34,0.1,775,3.1,8738,34.6,36562,144.6
4,State,Bihar,5354,5.6,4663,4.9,578,0.6,1457,1.5,2425,2.5,968,1,1457,1.5,2392,2.5,208,0.2,2931,3.1,5955,6.3,14959,15.7,11997,12.6,1318,1.4,1668,1.8,90,0.1,570,0.6,5314,5.6,761,0.8,612,0.6,48,0.1,974,1,53127,55.8,117401,123.3
5,State,Goa,43,2.9,11,0.8,6,0.4,15,1,9,0.6,5,0.3,4,0.3,7,0.5,0,0,65,4.5,549,37.6,784,53.7,155,10.6,34,2.3,48,3.3,4,0.3,38,2.6,200,13.7,3,0.2,15,1,7,0.5,8,0.5,894,61.2,2895,198.3
6,State,Gujarat,1415,3,707,1.5,5,0,375,0.8,1209,2.6,973,2.1,236,0.5,342,0.7,4,0,1244,2.7,6322,13.6,17669,38.1,2410,5.2,1860,4,2540,5.5,102,0.2,570,1.2,15965,34.4,87,0.2,1077,2.3,90,0.2,3183,6.9,60647,130.6,117823,253.8
7,State,Haryana,609,3.2,416,2.2,137,0.7,373,2,428,2.3,291,1.5,137,0.7,58,0.3,51,0.3,201,1.1,3018,15.9,4979,26.2,862,4.5,385,2,1050,5.5,33,0.2,223,1.2,4827,25.4,267,1.4,546,2.9,287,1.5,533,2.8,12698,66.8,31981,168.1
8,State,Himachal Pradesh,117,1.9,64,1,7,0.1,129,2.1,142,2.3,130,2.1,12,0.2,4,0.1,0,0,19,0.3,821,13.2,616,9.9,575,9.2,93,1.5,142,2.3,5,0.1,103,1.7,1305,20.9,12,0.2,288,4.6,18,0.3,221,3.5,5561,89.3,10242,164.4
9,State,Jammu & Kashmir,792,8.6,761,8.2,14,0.2,166,1.8,618,6.7,588,6.3,30,0.3,43,0.5,0,0,189,2,1703,18.4,2172,23.5,722,7.8,108,1.2,271,2.9,13,0.1,475,5.1,414,4.5,12,0.1,425,4.6,319,3.4,7,0.1,7968,86,17192,185.7
10,State,Karnataka,1669,3.3,1441,2.9,57,0.1,244,0.5,679,1.4,358,0.7,321,0.6,288,0.6,2,0,1224,2.4,9365,18.6,16399,32.6,7877,15.7,780,1.6,1890,3.8,668,1.3,368,0.7,24297,48.3,195,0.4,1405,2.8,147,0.3,1450,2.9,44418,88.3,114863,228.4
