SI.No.,Crime Heads,Percentage of cases to total cases for trial - compounded or withdrawn,Percentage of Cases to total cases for trial - in which Trials were completed - convicted,Percentage of Cases to total cases for trial - in which trials were completed - acquitted or discharged,Percentage of Cases to total cases for trial - in which trials were completed - total [Col. (4+5)],Percentage of cases to total cases for trial - pending trial,Conviction Rate {Col. (4/7)*100}
1,Murder,0.2,5.1,9.8,14.9,84.9,34.4
2,Attempt to Commit Murder,0.7,5.2,10.2,15.4,83.9,33.8
3,C.H. Not Amounting To Murder,0.6,5.5,9.5,15,84.4,36.4
4,Rape,0.3,4.9,12.5,17.4,82.3,28.2
5,Kidnapping & Abduction,1,3.7,10.4,14.1,84.9,26.4
5,I)of Women & Girls,1.1,3.9,10.8,14.7,84.2,26.6
5,II)of others,0.7,3.2,9.2,12.4,86.9,25.9
6,Dacoity,0.4,3.3,8.9,12.2,87.4,27.3
7,Preparation & Assembly for Dacoity,0.3,5,9,14,85.8,35.5
8,Robbery,0.4,3.8,8.5,12.3,87.3,30.9
9,Burglary,1,5.2,9.6,14.8,84.2,35.1
10,Theft,1.4,6.1,8.9,15,83.6,40.9
11,Riots,3.2,3.3,9,12.3,84.5,27
12,Criminal Breach of Trust,1,3,7.9,10.9,88.1,27.5
13,Cheating,1.4,2.8,7.1,9.9,88.7,28.1
14,Counterfeiting,0.3,3.1,7.9,11,88.7,28.3
15,Arson,1.7,4.5,12.2,16.7,81.6,27.1
16,Hurt,7,4.5,10,14.4,78.5,30.9
17,Dowry Deaths,0.5,5.2,9.6,14.8,84.7,35.3
18,Molestation,5.2,6.3,10.8,17.1,77.7,36.9
19,Sexual Harassment,3.7,18,11.5,29.5,66.8,61.1
20,Cruelty by Husband and Relatives,2.7,3.1,9.9,13,84.3,23.6
21,Other IPC Crimes,3.8,8,10.5,18.5,77.7,43.1
22,Total Cognizable Crimes Under IPC,3.4,6.2,10,16.1,80.5,38.2
