SI.No.,State/UT,Total No. of Persons under Arrest* Including those from Previous Year,Number of Persons released Before Trial,Number of Persons Chargesheeted,Number of Persons Under Investigation at the end of the year,Pendency Percentage,Percentage of Pendency to All-India total
1,Andhra Pradesh,251068,4805,186914,59349,23.6,9.9
2,Arunachal Pradesh,2610,585,1384,641,24.6,0.1
3,Assam,90113,14745,32040,43328,48.1,7.2
4,Bihar,397162,35400,194162,167600,42.2,27.9
5,Goa,4471,616,2980,875,19.6,0.1
6,Gujarat,181109,525,162439,18145,10,3
7,Haryana,57573,170,50631,6772,11.8,1.1
8,Himachal Pradesh,19724,416,17024,2284,11.6,0.4
9,Jammu & Kashmir,22407,300,21719,388,1.7,0.1
10,Karnataka,187685,10693,156940,20052,10.7,3.3
11,Kerala,171764,4540,138307,28917,16.8,4.8
12,Madhya Pradesh,315178,933,304067,10178,3.2,1.7
13,Maharashtra,314797,6393,272153,36251,11.5,6
14,Manipur,2446,1009,154,1283,52.5,0.2
15,Meghalaya,3740,602,1346,1792,47.9,0.3
16,Mizoram,3183,7,1510,1666,52.3,0.3
17,Nagaland,2790,79,1254,1457,52.2,0.2
18,Orissa,118415,324,102130,15961,13.5,2.7
19,Punjab,32729,1076,20907,10746,32.8,1.8
20,Rajasthan,231092,25,229705,1362,0.6,0.2
21,Sikkim,1053,296,365,392,37.2,0.1
22,Tamil Nadu,272114,16902,192107,63105,23.2,10.5
23,Tripura,8165,1477,2960,3728,45.7,0.6
24,Uttar Pradesh,275288,17108,227698,30482,11.1,5.1
25,West Bengal,168893,32973,72942,62978,37.3,10.5
Total States,Total States,3135569,151999,2393838,589732,18.8,98.3
26,A & N Islands,1098,2,385,711,64.8,0.1
27,Chandigarh,2651,350,1366,935,35.3,0.2
28,D & N Haveli,491,0,465,26,5.3,0
29,Daman & DIU,481,7,362,112,23.3,0
30,Delhi,58332,906,49171,8255,14.2,1.4
31,Lakshadweep,15,0,10,5,33.3,0
32,Pondicherry,4647,5,4509,133,2.9,0
Total (UTs),Total (UTs),67715,1270,56268,10177,15,1.7
Total (All -India),Total (All -India),3203284,153269,2450106,599909,18.7,100
