SI.No,Crime Head,Percentage of cases to total cases for investigation in which - Investigation was Refused,Percentage of cases to total cases for investigation in which - Investigation was completed - charge found False /Mistake of Fact or Law Etc.,Percentage of cases to total cases for investigation in which - Investigation was completed - final report true submitted,Percentage of cases to total cases for investigation in which - Investigation was completed - chargesheets were laid Submitted,Percentage of cases to total cases for investigation in which - Investigation was completed - total [Col. (4+5+6)],Percentage of cases pending Investigation,Chargesheeting Rate [Col. (6/5+6*100)]
1,Murder,0.2,2,11.9,49.8,63.7,36.1,80.8
2,Attempt to Commit Murder,0.2,3.2,7.3,59.9,70.4,29.4,89.1
3,C.H. Not Amounting To Murder,0,2.2,8.7,51.1,62,37.9,85.5
4,Rape,0.2,5.3,4,62.4,71.7,28.1,93.9
5,Kidnapping & Abduction,0.5,15.2,10.6,35.6,61.4,38.1,77
5,I)of Women & Girls,0.6,16.7,10,36.1,62.8,36.6,78.4
5,II)of others,0.3,11.5,12.2,34.4,58.1,41.6,73.8
6,Dacoity,0.1,3.4,17.2,28,48.6,51.2,62
7,Preparation & Assembly for Dacoity,0,0.2,7.3,51.6,59.2,40.8,87.6
8,Robbery,0.2,6,24.6,35,65.7,34.2,58.7
9,Burglary,0.3,3.4,44.4,25.3,73.1,26.5,36.3
10,Theft,0.4,3.4,40.2,28.2,71.8,27.8,41.2
11,Riots,0.4,10.3,6.5,60.5,77.2,22.4,90.3
12,Criminal Breach of Trust,0.5,8.2,13.1,33.6,54.9,44.6,71.9
13,Cheating,0.6,14.4,12,28.9,55.3,44.1,70.7
14,Counterfeiting,1,0.8,18.9,5.9,25.7,73.4,23.7
15,Arson,0.6,11.3,23.8,39,74.1,25.3,62.1
16,Hurt,0.3,3.8,4,77.3,85.2,14.6,95.1
17,Dowry Deaths,0.6,5.1,3.7,63.5,72.3,27.2,94.5
18,Molestation,0.2,5.2,2.6,79.1,86.8,13,96.8
19,Sexual Harassment,0.1,1.8,1.3,89.3,92.4,7.5,98.5
20,Cruelty by Husband and Relatives,0.3,9.4,3.2,67.9,80.5,19.2,95.5
21,Other IPC Crimes,0.5,5.3,8.3,65.4,78.9,20.6,88.7
22,Total Cognizable Crimes Under IPC,0.4,5.3,15.9,54.6,75.8,23.8,77.5
