SL. No.,Year,7-12 years,7-12 years - Percentage to total,12-16 years,12-16 years - Percentage to Total,16-18 years,16-18 years - Percentage to total,18-21 years,18-21 years - Percentage to total,overall Age groups
1,1987,5279,2.9,10387,5.8,22209,12.3,142087,79,179962
2,1988,3446,9,31098,81.5,3624,9.5,NA,NA,38168
3,1989,4812,13.2,21028,57.8,10552,29,NA,NA,36392
4,1990,3681,11.9,23580,76.5,3555,11.5,NA,NA,30816
5,1991,5837,19.7,18887,63.8,4867,16.4,NA,NA,29591
6,1992,3435,16.1,14793,69.3,3130,14.7,NA,NA,21358
7,1993,3929,19.6,13437,67,2701,13.5,NA,NA,20067
8,1994,3694,21.5,11053,64.3,2456,14.3,NA,NA,17203
9,1995,3377,18,12013,63.9,3403,18.1,NA,NA,18793
10,1996,3490,18.3,11378,59.6,4230,22.1,NA,NA,19098
11,1997,2747,15.4,12171,68.4,2878,16.2,NA,NA,17796
Percentage Change in 1997 Over 1987,Percentage Change in 1997 Over 1987,-48,NA,17.2,NA,-87.04,NA,-100,NA,-90.1
Percentage Change in 1997 Over 1996,Percentage Change in 1997 Over 1996,-21.3,NA,7,NA,-32,NA,NA,NA,-6.8
