SL. No.,Crime Head,Total No. of Persons under Arrest* Including those from Previous Year,Persons Released Before Trial - Number,Persons Released Before Trial - Percentage to Total,Persons Chargesheeted - Number,Persons Chargesheeted - Percentage to Total,Persons under Investigation at the End of the Year - Number,Persons under Investigation at the End of the Year - Percentage to Total
1,Arms Act,89728,1534,1.7,75351,84,12843,14.3
2,Narcotic Drugs & Psychotropic Substances Act,37160,704,1.9,24174,65.1,12282,33.1
3,Gambling Act,264928,2152,0.8,254190,95.9,8586,3.2
4,Excise Act,225496,2144,1,193169,85.7,30183,13.4
5,Prohibition Act,648955,6920,1.1,552358,85.1,89677,13.8
6,Explosive & Explosive Substances Act,9512,297,3.1,6152,64.7,3063,32.2
7,Immoral Traffic (P) Act,12268,28,0.2,10997,89.6,1243,10.1
8,Indian Railways Act,43234,323,0.7,42108,97.4,803,1.9
9,Registration of Foreigners Act,3106,52,1.7,2360,76,694,22.3
10,Protection Of Civil Rights Act,4107,355,8.6,3056,74.4,696,16.9
11,Indian Passport Act,933,35,3.8,583,62.5,315,33.8
12,Essential Commodities Act,10850,547,5,5996,55.3,4307,39.7
13,Terrorist & Disruptive Actvites Act,4528,238,5.3,268,5.9,4022,88.8
14,Antiquity & Art Treasure Act,73,0,0,33,45.2,40,54.8
15,Dowry Prohibition Act,9059,617,6.8,6471,71.4,1971,21.8
16,Child Marriage Restraint Act,191,6,3.1,182,95.3,3,1.6
17,Indecent Representation of Women (P)Act,317,1,0.3,307,96.8,9,2.8
18,Copy Rights Act,1679,67,4,1133,67.5,479,28.5
19,Sati Prevention Act,1,0,0,1,100,0,0
20,SC/ST (Prevention of Atrocities ) Act,30946,1235,4,26016,84.1,3695,11.9
21,Forest Act,10454,429,4.1,9291,88.9,734,7
22,Other SLL Crimes,3707187,126784,3.4,3484127,94,96276,2.6
23,Total Cognizable Crimes Under SLL,5114712,144468,2.8,4698323,91.9,271921,5.3
