SI.No,Crime Head,1987 - Incidence,Note of 1987 - Incidence,1987 - Rate,1992 - Incidence,Note of 1992 - Incidence,1992 - Rate,1993 - Incidence,Note of 1993 - Incidence,1993 - Rate,1994 - Incidence,Note of 1994 - Incidence,1994 - Rate,1995 - Incidence,1995 - Rate,1996 - Incidence,1996 - Rate,Quinquenial Avg. (Q.A) - (1992-1996) - Incidence,Note of Quinquenial Avg. (Q.A) - (1992-1996) - Incidence,Quinquenial (1992-1996) - Avg Rate,1997 - Incidence,1997 - Rate,Percentage Change In 1998[(+)Increase /(-) Decrease] Over - 1987,Percentage Change In 1998[(+)Increase /(-) Decrease] Over - Quinquenial Avg.,Percentage Change In 1998[(+)Increase /(-) Decrease] Over - 1996
1,Murder,28513,NA,3.6,40105,NA,4.6,38240,NA,4.3,38577,NA,4.3,37464,4.1,37671,4,38411,NA,4.3,37543,3.9,31.7,-2.3,-0.3
2,Attempt to Commit Murder,0,NA,0,31202,NA,3.6,29725,NA,3.4,30020,NA,3.3,29571,3.2,29597,3.2,30023,NA,3.3,29322,3.1,NA,-2.3,-0.9
3,C.H. Not Amounting To Murder,3721,NA,0.5,4621,NA,0.5,3890,NA,0.4,3946,NA,0.4,3830,0.4,3728,0.4,4003,NA,0.4,3869,0.4,4,-3.3,3.8
4,Rape,8559,NA,1.1,11708,NA,1.3,12218,NA,1.4,13208,NA,1.5,13754,1.5,14846,1.6,13147,NA,1.5,15330,1.6,79.1,16.6,3.3
5,Kidnapping & Abduction,15251,NA,2,20518,NA,2.4,19830,NA,2.2,20983,NA,2.3,20426,2.2,20848,2.2,20521,NA,2.3,21898,2.3,43.6,6.7,5
5,I)of Women & Girls,0,NA,0,13996,NA,1.6,14058,NA,1.6,14075,NA,1.6,14063,1.5,14877,1.6,14214,NA,1.6,15617,1.6,NA,9.8,4.9
5,II)of Others,0,NA,0,6522,NA,0.8,5772,NA,0.7,6908,NA,0.8,6363,0.7,5971,0.6,6307,NA,0.7,6281,0.7,NA,-0.3,5.3
6,Dacoity,10036,NA,1.3,11308,NA,1.3,9357,NA,1.1,9271,NA,1,8335,0.9,8035,0.9,9261,NA,1,7867,0.8,-21.6,-15.1,-2.1
7,Preparation & Assembly for Dacoity,0,NA,0,1297,NA,0.1,1102,NA,0.1,946,NA,0.1,961,0.1,888,0.1,1039,NA,0.1,1049,0.1,NA,1,18.1
8,Robbery,22917,NA,2.9,26444,NA,3,24354,NA,2.8,23933,NA,2.7,22443,2.5,22705,2.4,23976,NA,2.7,22141,2.3,-3.4,-7.7,-2.5
9,Burglary,125466,NA,16.1,127281,NA,14.7,123020,NA,13.9,121536,NA,13.5,116507,12.7,115097,12.4,120688,NA,13.4,113319,11.9,-9.7,-6.1,-1.5
10,Theft,310575,NA,39.7,350582,NA,40.4,320434,NA,36.3,303564,NA,33.7,294306,32.1,284985,30.6,310774,NA,34.5,277077,29,-10.8,-10.8,-2.8
11,Riots,90789,NA,11.6,104749,NA,12.1,93838,NA,10.6,94344,NA,10.5,96520,10.5,92831,10,96456,NA,10.7,91812,9.6,1.1,-4.8,-1.1
12,Criminal Breach of Trust,17847,NA,2.3,17925,NA,2.1,17039,NA,1.9,16523,NA,1.8,15503,1.7,15368,1.6,16472,NA,1.8,15077,1.6,-15.5,-8.5,-1.9
13,Cheating,22115,NA,2.8,29397,NA,3.4,30079,NA,3.4,31207,NA,3.5,30678,3.3,33823,3.6,31037,NA,3.4,35228,3.7,59.3,13.5,4.2
14,Counterfeiting,1653,NA,0.2,5133,NA,0.6,3728,NA,0.4,2851,NA,0.3,2203,0.2,2796,0.3,3342,NA,0.4,2228,0.2,34.8,-33.3,-20.3
15,Arson,NA,*,NA,NA,*,NA,NA,*,NA,NA,*,NA,12028,1.3,12425,1.3,NA,*,NA,12363,1.3,NA,NA,-0.5
16,Hurt/ Grievous Hurt,NA,*,NA,NA,*,NA,NA,*,NA,NA,*,NA,203812,22.3,223977,24,NA,*,NA,228497,23.9,NA,NA,2
17,Dowry Deaths,NA,*,NA,NA,*,NA,NA,*,NA,NA,*,NA,4648,0.5,5513,0.6,NA,*,NA,6006,0.6,NA,NA,8.9
18,Molestation,NA,*,NA,NA,*,NA,NA,*,NA,NA,*,NA,26856,2.9,28939,3.1,NA,*,NA,30764,3.2,NA,NA,6.3
19,Sexual Harassment,NA,*,NA,NA,*,NA,NA,*,NA,NA,*,NA,4689,0.5,5671,0.6,NA,*,NA,5796,0.6,NA,NA,2.2
20,Cruelty by Husband or Relatives,NA,*,NA,NA,*,NA,NA,*,NA,NA,*,NA,28579,3.1,35246,3.8,NA,*,NA,36592,3.8,NA,NA,3.8
21,Other IPC Crimes,749550,NA,95.9,907071,NA,104.5,903082,NA,102.2,924342,NA,102.7,722583,78.9,714587,76.7,834333,NA,92.7,726042,76,-3.1,-13,1.6
22,Total Cognizable Crimes Under IPC,1406992,NA,180.1,1689341,NA,194.7,1629936,NA,184.4,1635251,NA,181.7,1695696,185.1,1709576,183.4,1671960,NA,185.8,1719820,180,22.2,2.9,0.6
