Sl. No.,Crime Head,Percentage of cases to total cases for - Investigation in which - Investigation was refused,Percentage of cases to total cases for - Investigation in which - Investigation was comleted - charge found false/ Mistake of Fact Or Law Etc.,Percentage of cases to total cases for - Investigation in which - Investigation was completed - final report true submited,Percentage of cases to total cases for - Investigation in which - Investigation was completed - chargesheets were laid,Percentage of cases to total cases for - Investigation in which - Investigation was completed - total [Col. (4 +5+6)],Percentage of cases pending Investigation,Chargesheeting Rate [Col. (6/(5+6))*100]
1,Arms Act,0,0.3,2.6,81.1,84,16,96.9
2,Narcotic Drugs & Psychotropic Substances Act,0.1,0.5,1.8,60.8,63.2,36.8,97.1
3,Gambling Act,0,0,0.1,97.7,97.8,2.1,99.9
4,Excise Act,0.5,0.4,1,81.1,82.5,17,98.8
5,Prohibition Act,0.6,0.8,2.3,81.3,84.4,15,97.3
6,Explosive & Explosive Substances Act,0.2,1.2,9.5,52.7,63.4,36.4,84.7
7,Immoral Traffic (Prevention) Act,0,0.1,0.2,86.5,86.8,13.2,99.7
8,Indian Railways Act,0.1,0.3,1.3,96.8,98.4,1.5,98.7
9,Registration of Foreigners Act,0.2,0.6,2.5,82.6,85.7,14.1,97
10,Protection Of Civil Rights Act,2.5,8.7,3.7,62.6,75,22.5,94.5
11,Indian Passport Act,0.8,1.8,4.3,62.3,68.4,30.7,93.5
12,Essential Commodities Act,0.2,2.2,4.7,49.5,56.4,43.4,91.4
13,Terrorist & Disruptive Actvites Act,0,0.7,19.4,8.9,29.1,70.9,31.5
14,Antiquity & Art Treasure Act,0,7,7,29.6,43.7,56.3,80.8
15,Dowry Prohibition Act,0.7,5.5,5.9,59.3,70.8,28.5,90.9
16,Child Marriage Restraint Act,0.9,9.3,0.9,56.1,66.4,32.7,98.4
17,Indecent Representation of Women (P)Act,0,3.1,1,81.3,85.4,14.6,98.7
18,CopyRight Act,0.6,1.1,4.4,62,67.5,31.9,93.3
19,Sati Prevention Act,0,0,0,100,100,0,100
20,SC/ST(Prevention of Atrocities ) Act,0.3,17.4,4.9,60.8,83.1,16.5,92.5
21,Forest Act,2.5,2,4.7,82.4,89.1,8.4,94.6
22,Other SLL Crimes,0.7,0.9,0.9,85.5,87.3,12.1,99
23,Total Cognizable Crimes Under SLL,0.6,0.9,1.1,84.7,86.7,12.7,98.7
