SI.No,Crime Head,Male,Female,Total,Percentage to total - Male,Percentage to total - Female
1,Murder,76151,3473,79624,95.6,4.4
2,Attempt to Commit Murder,70190,1954,72144,97.3,2.7
3,C.H. Not Amounting To Murder,7983,237,8220,97.1,2.9
4,Rape,19731,317,20048,98.4,1.6
5,Kidnapping & Abduction,26271,1500,27771,94.6,5.4
5,I)of Women & Girls,16698,1273,17971,92.9,7.1
5,II)of Others,9573,227,9800,97.7,2.3
6,Dacoity,24560,102,24662,99.6,0.4
7,Preparation & Assembly for Dacoity,4929,6,4935,99.9,0.1
8,Robbery,28706,132,28838,99.5,0.5
9,Burglary,66016,1141,67157,98.3,1.7
10,Theft,162516,4193,166709,97.5,2.5
11,Riots,433138,24696,457834,94.6,5.4
12,Criminal Breach of Trust,13801,321,14122,97.7,2.3
13,Cheating,28337,958,29295,96.7,3.3
14,Counterfeiting,954,17,971,98.2,1.8
15,Arson,15377,235,15612,98.5,1.5
16,Hurt,403325,23541,426866,94.5,5.5
17,Dowry Deaths,11738,3690,15428,76.1,23.9
18,Molestation,37696,327,38023,99.1,0.9
19,Sexual Harassment,6766,53,6819,99.2,0.8
20,Cruelty by Husband and Relatives,64028,17429,81457,78.6,21.4
21,Other IPC Crimes,941931,47361,989292,95.2,4.8
22,Total Cognizable Crimes Under IPC,2444144,131683,2575827,94.9,5.1
