SL.No.,Crime Head,1996,1997,Percentage Variation in 1997 over 1996,Percentage share of Crime During 1997
1,Arms Act,69428,77217,11.2,1.6
2,Narcotic Drugs & Psychotropic Substances Act,23399,24859,6.2,0.5
3,Gambling Act,276807,255739,-7.6,5.3
4,Excise Act,157150,183784,16.9,3.8
5,Prohibition Act,626804,539870,-13.9,11.2
6,Explosive & Explosive Substances Act,5830,5979,2.6,0.1
7,Immoral Traffic (P) Act,10272,11373,10.7,0.2
8,Indian Railways Act,39330,41801,6.3,0.9
9,Registration of Foreigners Act,2123,2629,23.8,0.1
10,Protection Of Civil Rights Act,3404,3052,-10.3,0.1
11,Indian Passport Act,1376,777,-43.5,0
12,Essential Commodities Act,6484,6825,5.3,0.1
13,Terrorist & Disruptive Actvites Act,324,59,-81.8,0
14,Antiquity & Art Treasure Act,38,41,7.9,0
15,Dowry Prohibition Act,7123,6886,-3.3,0.1
16,Child Marriage Restraint Act,328,175,-46.6,0
17,Indecent Representation of Women (P)Act,252,275,9.1,0
18,Copy Rights Act,909,1348,48.3,0
19,Sati Prevention Act,0,1,NA,0
20,SC/ST (Prevention of Atrocities ) Act,32152,26608,-17.2,0.6
21,Forest Act,10230,9851,-3.7,0.2
22,Other SLL Crimes,3462606,3602551,4,75
23,Total Cognizable Crimes Under SLL,4736369,4801700,1.4,100
