SI.No.,State/UT,Investigation Stage - Case Pending Investigation from Previous year,Investigation Stage - Cases Reported during the year,Investigation Stage - Cases not Investigated or in which Investigation was Refused,Investigation Stage - Cases Declared False on Account of Mistake of Fact or Law,Investigation Stage - Cases in which Chargesheets were Submited,Investigated Stage - Cases in which Chargesheets were not Laid but Final Report Submitted during the year,Investigation Stage - Total Cases (Col.7 + 8),Investigation Stage - Cases Pending Investigation at the End of the year,Trial Stage - Cases Pending Trial from Previous year,Trial Stage - Cases Sent for Trial during the year,Trial Stage - Total Cases for Trial during the year,Trial Stage - Cases in which Trials were Compounded or Withdrawn,Trial Stage - Cases in which Trials were Completed,Trial Stage - Cases Convicted,Trial Stage - Cases Acquitted or Discharged,Trials Stage - Cases Pending Trials at the End of the year
1,Andhra Pradesh,3,0,0,0,2,0,2,1,3,2,5,0,1,0,1,4
2,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Assam,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Bihar,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1
5,Goa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Gujarat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Haryana,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,Himachal Pradesh,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
9,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Karnataka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Kerala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Madhya Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Maharashtra,1,0,0,0,1,0,1,0,2,1,3,0,0,0,0,3
14,Manipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Orissa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Punjab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Rajasthan,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Tamil Nadu,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
23,Tripura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Uttar Pradesh,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0
25,West Bengal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total States,Total States,4,6,0,1,4,0,4,5,7,4,11,0,1,0,1,10
26,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Daman & DIU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,Delhi,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (UTs),Total (UTs),0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
Total (All-India),Total (All-India),4,6,0,1,4,0,4,5,8,4,12,0,1,0,1,11
