SL.No.,Crime Head,Male,Female,Total,Percentage to total - Male,Percentage to total - Female
1,Arms Act,77014,203,77217,99.7,0.3
2,Narcotic Drugs & Psychotropic Substances Act,23925,934,24859,96.2,3.8
3,Gambling Act,255512,227,255739,99.9,0.1
4,Excise Act,177235,6549,183784,96.4,3.6
5,Prohibition Act,425131,114739,539870,78.7,21.3
6,Explosive & Explosive Substances Act,5967,12,5979,99.8,0.2
7,Immoral Traffic (P) Act,1302,10071,11373,11.4,88.6
8,Indian Railways Act,40555,1246,41801,97,3
9,Registration of Foreigners Act,2367,262,2629,90,10
10,Protection Of Civil Rights Act,2891,161,3052,94.7,5.3
11,Indian Passport Act,732,45,777,94.2,5.8
12,Essential Commodities Act,6792,33,6825,99.5,0.5
13,Terrorist & Disruptive Actvites Act,58,1,59,98.3,1.7
14,Antiquity & Art Treasure Act,41,0,41,100,0
15,Dowry Prohibition Act,5499,1387,6886,79.9,20.1
16,Child Marriage Restraint Act,119,56,175,68,32
17,Indecent Representation of Women (P)Act,275,0,275,100,0
18,Copy Right Act,1343,5,1348,99.6,0.4
19,Sati Prevention Act,1,0,1,100,0
20,SC/ST(Prevention of Atrocities) Act,25711,897,26608,96.6,3.4
21,Forest Act,9831,20,9851,99.8,0.2
22,Other SLL Crimes,3553937,48614,3602551,98.7,1.3
23,Total Cognizable Crimes Under SLL,4616238,185462,4801700,96.1,3.9
