SI.No,Crime Head,1987,1992,Note of 1992,1993,Note of 1993,1994,Note of 1994,1995,1996,Quinquennial Avg. (Q.A.) - (1992-1996),1997,Percentage Change in [(+) Increase / (-) Decrease ]Over - 1987,Percentage Change in [(+) Increase / (-) Decrease ] Over - Q.A,Percentage Change in [(+) Increase / (-) Decrease ] Over - 1996
1,Murder,1295,292,NA,297,NA,288,NA,253,270,280,316,-75.6,12.9,17
2,Attempt to Commit Murder,0,177,NA,182,NA,166,NA,208,202,187,147,NA,-21.4,-27.2
3,C.H. Not Amounting To Murder,133,19,NA,15,NA,19,NA,23,21,19,25,-81.2,28.9,19
4,Rape,608,158,NA,168,NA,176,NA,174,157,167,163,-73.2,-2.2,3.8
5,Kidnapping & Abduction,648,79,NA,184,NA,95,NA,152,132,128,72,-88.9,-43.9,-45.5
5,I) of Women & Girls,0,62,NA,140,NA,51,NA,66,43,72,48,NA,-33.7,11.6
5,II) of Others,0,17,NA,44,NA,44,NA,86,89,56,24,NA,-57.1,-73
6,Dacoity,415,51,NA,51,NA,32,NA,56,44,47,20,-95.2,-57.3,-54.5
7,Preparation & Assembly for Dacoity,0,2,NA,5,NA,23,NA,3,0,7,1,NA,-84.8,NA
8,Robbery,772,87,NA,98,NA,49,NA,76,87,79,50,-93.5,-37,-42.5
9,Burglary,5153,1464,NA,1138,NA,1294,NA,1285,1315,1299,1162,-77.5,-10.6,-11.6
10,Theft,11414,3203,NA,2404,NA,2346,NA,2835,2356,2629,1975,-82.7,-24.9,-16.2
11,Riots,6712,906,NA,1023,NA,637,NA,955,856,875,513,-92.4,-41.4,-40.1
12,Criminal Breach of Trust,264,21,NA,15,NA,17,NA,33,18,21,16,-93.9,-23.1,-11.1
13,Cheating,311,46,NA,63,NA,24,NA,54,60,49,43,-86.2,-13,-28.3
14,Counterfeiting,14,0,NA,1,NA,3,NA,1,0,1,1,-92.9,0,NA
15,Arson,0,NA,*,NA,*,NA,*,8,33,8,40,NA,387.8,21.2
16,Hurt,0,NA,*,NA,*,NA,*,791,1395,437,1242,NA,184.1,-11
17,Dowry Deaths,0,NA,*,NA,*,NA,*,27,42,14,49,NA,255.1,16.7
18,Molestation,0,NA,*,NA,*,NA,*,86,117,41,131,NA,222.7,12
19,Sexual Harassment,0,NA,*,NA,*,NA,*,27,13,8,25,NA,212.5,92.3
20,Cruelty by Husband and Relatives,0,NA,*,NA,*,NA,*,192,166,72,154,NA,115.1,-7.2
21,Other IPC Crimes,24871,4595,NA,3821,NA,3392,NA,2527,2740,3415,1764,-92.9,-48.3,-35.6
22,Total Cognizable Crimes Under IPC,52610,11100,NA,9465,NA,8561,NA,9766,10024,9783,7909,-85,-19.2,-21.1
