SI.No.,State/UT,Persons in Custody or on Bail during the Stage of Investigationat the Beginning of the year,Persons Arrested during the year,Persons Released or freed by Police or Magistrate before Trial for want of Evidence or any Other Reason,Persons in Custody or on bail during the Stage of Investigation at the End of the year,Persons in whose Cases Chargesheets were Submitted during the year,Persons under Trial at the Beginning of the year,Total Number of Persons under Trial during the year,Persons Against whom Cases were Compounded or Withdrawn,Persons in Custody or on Bail during the Stage of Trial at the year,Persons in whose Cases Trials were Completed during the year,Persons Convicted,Persons Acquitted
1,Andhra Pradesh,6,0,0,0,6,17,23,0,19,4,0,4
2,Arunachal Pradesh,1,0,1,0,0,0,0,0,0,0,0,0
3,Assam,0,14,0,14,0,8,8,0,8,0,0,0
4,Bihar,0,0,0,0,0,0,0,0,0,0,0,0
5,Goa,0,0,0,0,0,4,4,0,4,0,0,0
6,Gujarat,0,0,0,0,0,0,0,0,0,0,0,0
7,Haryana,0,0,0,0,0,0,0,0,0,0,0,0
8,Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0
9,Jammu & Kashmir,0,0,0,0,0,0,0,0,0,0,0,0
10,Karnataka,0,7,1,0,6,33,39,0,29,10,0,10
11,Kerala,0,0,0,0,0,0,0,0,0,0,0,0
12,Madhya Pradesh,0,0,0,0,0,24,24,0,23,1,0,1
13,Maharashtra,34,4,0,23,15,3,18,0,15,3,0,3
14,Manipur,0,0,0,0,0,0,0,0,0,0,0,0
15,Meghalaya,0,1,0,1,0,0,0,0,0,0,0,0
16,Mizoram,0,0,0,0,0,0,0,0,0,0,0,0
17,Nagaland,0,0,0,0,0,0,0,0,0,0,0,0
18,Orissa,3,0,0,3,0,0,0,0,0,0,0,0
19,Punjab,1,0,1,0,0,7,7,1,4,2,1,1
20,Rajasthan,0,12,0,0,12,21,33,6,25,2,2,0
21,Sikkim,0,0,0,0,0,0,0,0,0,0,0,0
22,Tamil Nadu,0,2,0,0,2,0,2,0,2,0,0,0
23,Tripura,0,0,0,0,0,0,0,0,0,0,0,0
24,Uttar Pradesh,31,41,16,48,8,15,23,0,23,0,0,0
25,West Bengal,0,0,0,0,0,0,0,0,0,0,0,0
Total States,Total States,76,81,19,89,49,132,181,7,152,22,3,19
26,A & N Islands,0,0,0,0,0,0,0,0,0,0,0,0
27,Chandigarh,0,0,0,0,0,0,0,0,0,0,0,0
28,D & N Haveli,0,0,0,0,0,0,0,0,0,0,0,0
29,Daman & DIU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,Delhi,0,0,0,0,0,27,27,0,27,0,0,0
31,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
32,Pondicherry,0,0,0,0,0,11,11,0,11,0,0,0
Total (UTs),Total (UTs),0,0,0,0,0,38,38,0,38,0,0,0
Total (All-India),Total (All-India),76,81,19,89,49,170,219,7,190,22,3,19
