SL. No.,Crime Head,Number of Cases Reported during - 1996,Number of Cases Reported during - 1997,Percentage Change in 1997 Over 1996
1,Arms Act,44,101,129.5
2,Narcotic Drugs & Psychotropic Substances Act,34,11,-67.6
3,Gambling Act,363,97,-73.3
4,Excise Act,378,212,-43.9
5,Prohibition Act,1282,152,-88.1
6,Explosive & Explosive Substances Act,2,1,-50
7,Immoral Traffic (P) Act,104,83,-20.2
8,Indian Railways Act,16,26,62.5
9,Registration of Foreigners Act,1,18,1700
10,Protection Of Civil Rights Act,3,6,100
11,Indian Passport Act,8,8,0
12,Essential Commodities Act,1,2,100
13,Terrorist & Disruptive Actvites Act,0,1,NA
14,Antiquity & Art Treasure Act,0,0,NA
15,Dowry Prohibition Act,28,3,-89.3
16,Child Marriage Restraint Act,2,1,-50
17,Indecent Representation of Women (P)Act,0,0,NA
18,Copy Right Act,1,0,-100
19,Sati Prevention Act,0,0,NA
20,SC/ST (Prevention of Atrocities ) Act,18,15,-16.7
21,Forest Act,1,0,-100
22,Other SLL Crimes,3433,3671,6.9
23,Total Cognizable Crimes Under SLL,5719,4408,-22.9
